accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,latitude,longitude,injuryStatusParticipant10,injuryStatusParticipant11,injuryStatusParticipant12,injuryStatusParticipant13,injuryStatusParticipant14,injuryStatusParticipant15,injuryStatusParticipant16,injuryStatusParticipant17,injuryStatusParticipant18,injuryStatusParticipant19,injuryStatusParticipant20
2017-01-20,13:40:00,п'ятниця,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",62,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,без ушкоджень,легко травмований,,,,,,,,49.794716,24.056164,,,,,,,,,,,
2017-01-16,15:14:00,понеділок,місто,Львів,Сихівський,вулиця,Зелена,172,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,перехід у невстановленому місці,2,без ушкоджень,тяжко травмований,,,,,,,,49.815506,24.060976,,,,,,,,,,,
2017-01-14,20:01:00,субота,місто,Львів,Франківський,вулиця,Володимира Великого,,Перехрестя вул. Володимира Великого - вул. Тролейбусна,зіткнення лобове,"порушення правил маневрування, порушення правил проїзду перехресть",4,без ушкоджень,без ушкоджень,легко травмований,легко травмований,,,,,,49.809735,24.007981,,,,,,,,,,,
2017-01-21,17:54:00,субота,місто,Львів,Шевченківський,вулиця,"Мазепи І., гетьм.",,,наїзд на пішохода - на регульованому пішохідному переході,перевищення безпечної швидкості,2,без ушкоджень,тяжко травмований,,,,,,,,49.870618,24.032131,,,,,,,,,,,
2017-01-16,22:40:00,понеділок,місто,Львів,Шевченківський,вулиця,Варшавська,90,,зіткнення з задньою частиною ТЗ,"порушення правил маневрування, порушення правил проїзду перехресть",2,без ушкоджень,легко травмований,,,,,,,,49.862703,24.0073,,,,,,,,,,,
2017-01-15,13:40:00,неділя,місто,Львів,Франківський,вулиця,Княгині Ольги,,,наїзд на пішохода - на регульованому пішохідному переході,,2,без ушкоджень,тяжко травмований,,,,,,,,49.812526,24.000041,,,,,,,,,,,
2017-01-16,16:30:00,понеділок,місто,Львів,Галицький,вулиця,Стара,,,падіння пасажира,,2,без ушкоджень,тяжко травмований,,,,,,,,49.845289,24.027207,,,,,,,,,,,
2017-01-22,18:59:00,неділя,місто,Львів,Шевченківський,вулиця,Лінкольна А.,,,наїзд на пішохода - на регульованому пішохідному переході,,2,легко травмований,тяжко травмований,,,,,,,,49.866178,24.035168,,,,,,,,,,,
2017-01-15,0:40:00,неділя,місто,Львів,Залізничний,вулиця,Городоцька,,,наїзд на пішохода - на регульованому пішохідному переході,,2,без ушкоджень,тяжко травмований,,,,,,,,49.830758,23.96925,,,,,,,,,,,
2017-01-22,23:55:00,неділя,місто,Львів,Залізничний,вулиця,Підміська,3,,наїзд на інші види перешкод,перевищення безпечної швидкості,1,легко травмований,,,,,,,,,49.824532,23.979018,,,,,,,,,,,
2017-01-23,7:09:00,понеділок,місто,Львів,Личаківський,вулиця,Личаківська,3,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,без ушкоджень,легко травмований,,,,,,,,49.839771,24.03733,,,,,,,,,,,
2017-01-14,12:01:00,субота,місто,Львів,Личаківський,вулиця,Личаківська,15,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,3,без ушкоджень,без ушкоджень,легко травмований,,,,,,,49.839878,24.039642,,,,,,,,,,,
2017-01-16,14:01:00,понеділок,місто,Львів,Сихівський,вулиця,Навроцького В.,,,наїзд на пішохода - на регульованому пішохідному переході,,2,без ушкоджень,тяжко травмований,,,,,,,,49.811086,24.052827,,,,,,,,,,,
2017-01-24,16:20:00,вівторок,місто,Львів,Галицький,вулиця,Театральна,22,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,без ушкоджень,помер на місці дтп,,,,,,,,49.844089,24.028317,,,,,,,,,,,
2017-01-24,20:50:00,вівторок,місто,Львів,Шевченківський,вулиця,Грінченка Б.,,"Перехрестя вул. Грінченка Б., - вул. Хмельницького Б.",зіткнення бокове,"перевищення безпечної швидкості, порушення правил маневрування, порушення правил проїзду перехресть",3,без ушкоджень,легко травмований,легко травмований,,,,,,,49.869947,24.057108,,,,,,,,,,,
2017-01-27,21:25:00,п'ятниця,місто,Львів,Сихівський,вулиця,Навроцького В.,,,наїзд на пішохода - на регульованому пішохідному переході,,2,без ушкоджень,тяжко травмований,,,,,,,,49.811072,24.052827,,,,,,,,,,,
2017-01-27,10:23:00,п'ятниця,місто,Львів,Галицький,вулиця,Коперника М.,,"Перехрестя вул. Коперника М., - вул. Вербицького М.",наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,без ушкоджень,легко травмований,,,,,,,,49.833298,24.018774,,,,,,,,,,,
2017-01-27,7:45:00,п'ятниця,місто,Львів,Залізничний,вулиця,Городоцька,,,наїзд на пішохода - на регульованому пішохідному переході,,2,без ушкоджень,тяжко травмований,,,,,,,,49.830744,23.969207,,,,,,,,,,,
2017-01-27,18:11:00,п'ятниця,місто,Львів,Личаківський,вулиця,Римлянина П.,12,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,3,без ушкоджень,легко травмований,легко травмований,,,,,,,49.838418,24.037716,,,,,,,,,,,
2017-01-27,21:35:00,п'ятниця,місто,Львів,Франківський,вулиця,Горбачевського І.,,,наїзд на пішохода - на регульованому пішохідному переході,,2,без ушкоджень,легко травмований,,,,,,,,49.828945,24.008946,,,,,,,,,,,
2017-01-29,15:13:00,неділя,місто,Львів,Сихівський,вулиця,Стрийська,109,,зіткнення з задньою частиною ТЗ,"перевищення безпечної швидкості, недодержання дистанції",3,без ушкоджень,без ушкоджень,легко травмований,,,,,,,49.786879,24.014831,,,,,,,,,,,
2017-01-29,20:01:00,неділя,місто,Львів,Личаківський,вулиця,Личаківська,,Перехрестя вул. Личаківська - вул. Заньковецької М.,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,,,,,,,,49.84074,24.046471,,,,,,,,,,,
2017-01-29,20:01:00,неділя,місто,Львів,Личаківський,вулиця,Пасічна,,,зіткнення з задньою частиною ТЗ,перевищення безпечної швидкості,2,легко травмований,без ушкоджень,,,,,,,,49.821982,24.075272,,,,,,,,,,,
2017-01-28,16:10:00,субота,місто,Львів,Галицький,вулиця,"Шевченка Т., просп.",28,,зіткнення з задньою частиною ТЗ,перевищення безпечної швидкості,4,легко травмований,без ушкоджень,без ушкоджень,без ушкоджень,,,,,,49.835972,24.032035,,,,,,,,,,,
2017-01-27,1:06:00,п'ятниця,місто,Львів,Личаківський,вулиця,Личаківська,283,,наїзд на дерево,,3,без ушкоджень,тяжко травмований,тяжко травмований,,,,,,,49.833948,24.088554,,,,,,,,,,,
2017-01-31,9:15:00,вівторок,місто,Львів,Шевченківський,вулиця,Липинського В.,,"Перехрестя вул. Липинського В., - вул. Замарстинівська",зіткнення лобове,перевищення безпечної швидкості,3,легко травмований,без ушкоджень,легко травмований,,,,,,,49.860051,24.026821,,,,,,,,,,,
2017-01-31,20:10:00,вівторок,місто,Львів,Сихівський,вулиця,"Червоної Калини, просп.",46А,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,легко травмований,тяжко травмований,,,,,,,,49.797195,24.051556,,,,,,,,,,,
2017-02-01,16:50:00,середа,місто,Львів,Шевченківський,вулиця,Шевченка Т.,297Б,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,"порушення правил маневрування, порушення правил проїзду пішохідних переходів",2,без ушкоджень,легко травмований,,,,,,,,49.86641,23.9566,,,,,,,,,,,
2017-02-02,2:19:00,четвер,місто,Львів,Залізничний,вулиця,Виговського І.,45А,,зіткнення з задньою частиною ТЗ,"перевищення безпечної швидкості, недодержання дистанції",2,легко травмований,без ушкоджень,,,,,,,,49.817396,23.971642,,,,,,,,,,,
2017-02-01,18:06:00,середа,місто,Львів,Франківський,вулиця,Кульпарківська,,Перехрестя вул. Кульпарківська - вул. Володимира Великого,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,без ушкоджень,легко травмований,,,,,,,,49.811972,23.985053,,,,,,,,,,,
2017-02-01,16:29:00,середа,місто,Львів,Франківський,вулиця,Володимира Великого,51,,зіткнення бокове,невиконання вимог сигналів регулювання,3,без ушкоджень,легко травмований,легко травмований,,,,,,,49.810158,24.002155,,,,,,,,,,,
2017-02-01,20:05:00,середа,місто,Львів,Франківський,вулиця,Кульпарківська,,Перехрестя вул.  Кульпарківська - вул. Щирецька,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,без ушкоджень,помер на місці дтп,,,,,,,,49.809119,23.982382,,,,,,,,,,,
2017-01-24,17:45:00,вівторок,місто,Львів,Личаківський,вулиця,Хмельницького Б.,214,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,без ушкоджень,легко травмований,,,,,,,,49.869643,24.057124,,,,,,,,,,,
2017-02-03,7:22:00,п'ятниця,місто,Львів,Галицький,проспект,"Свободи, просп.",43,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,без ушкоджень,помер у лікарні протягом 30 діб,,,,,,,,49.843601,24.025941,,,,,,,,,,,
2017-02-03,9:04:00,п'ятниця,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",,"Перехрестя Чорновола В., просп., - вул. Липинського В.",наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,без ушкоджень,легко травмований,,,,,,,,49.857008,24.021928,,,,,,,,,,,
2017-02-02,16:28:00,четвер,місто,Львів,Галицький,вулиця,Листопадового Чину,,Перехрестя вул. Листопадового Чину - вул. Костюшка Т.,зіткнення лобове,"порушення правил маневрування, порушення правил проїзду перехресть",3,без ушкоджень,легко травмований,легко травмований,,,,,,,49.841518,24.022808,,,,,,,,,,,
2017-02-04,22:01:00,субота,місто,Львів,Галицький,вулиця,Замарстинівська,34,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,без ушкоджень,тяжко травмований,,,,,,,,49.850498,24.02674,,,,,,,,,,,
2017-02-12,23:25:00,неділя,місто,Львів,Сихівський,вулиця,Сихівська,13,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,без ушкоджень,легко травмований,,,,,,,,49.796326,24.063658,,,,,,,,,,,
2017-02-05,2:30:00,неділя,місто,Львів,Залізничний,вулиця,Городоцька,,Перехрестя вул. Городоцька - вул. Виговського І.,зіткнення з задньою частиною ТЗ,"перевищення безпечної швидкості, недодержання дистанції",3,без ушкоджень,без ушкоджень,легко травмований,,,,,,,49.830536,23.96822,,,,,,,,,,,
2017-02-09,11:12:00,четвер,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",42,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,без ушкоджень,легко травмований,,,,,,,,49.79813,24.04977,,,,,,,,,,,
2017-02-09,15:48:00,четвер,місто,Львів,Залізничний,вулиця,Любінська,,Перехрестя вул. Любінська - вул. Петлюри С.,зіткнення бокове,"порушення правил маневрування, порушення правил проїзду перехресть",2,легко травмований,без ушкоджень,,,,,,,,49.824058,23.977318,,,,,,,,,,,
2017-02-07,0:38:00,вівторок,місто,Львів,Шевченківський,вулиця,Клепарівська,41,,зіткнення лобове,"керування транспортним засобом у нетверезому стані, перевищення безпечної швидкості",4,тяжко травмований,без ушкоджень,легко травмований,легко травмований,,,,,,49.850626,24.015067,,,,,,,,,,,
2017-02-07,8:43:00,вівторок,місто,Львів,Франківський,вулиця,Кульпарківська,,Перехрестя вул. Кульпарківська - вул. Садова,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,без ушкоджень,легко травмований,,,,,,,,49.821414,23.988637,,,,,,,,,,,
2017-02-09,10:53:00,четвер,місто,Львів,Франківський,вулиця,Горбачевського І.,,"Перехрестя вул. Горбачевського І., - вул. Сахарова А., акад.",наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,без ушкоджень,легко травмований,,,,,,,,49.827291,24.011028,,,,,,,,,,,
2017-02-10,20:54:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Липинського В.,36А,,наїзд на інші види перешкод,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,,,,,,,,49.863087,24.031965,,,,,,,,,,,
2017-02-11,11:05:00,субота,місто,Львів,Сихівський,вулиця,Зубрівська,25,,зіткнення бокове,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,,,,,,,,49.795322,24.059871,,,,,,,,,,,
2017-02-08,9:01:00,середа,місто,Львів,Галицький,вулиця,Вітовського Д.,41,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,без ушкоджень,легко травмований,,,,,,,,49.830135,24.02394,,,,,,,,,,,
2017-02-03,20:30:00,п'ятниця,місто,Львів,Залізничний,вулиця,Левандівська,13,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,,,,,,,49.844632,23.984324,,,,,,,,,,,
2017-02-09,7:07:00,четвер,місто,Львів,Сихівський,вулиця,Луганська,2,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,"перевищення безпечної швидкості, порушення правил маневрування, управління несправним транспортним засобом",2,без ушкоджень,легко травмований,,,,,,,,49.806987,24.059179,,,,,,,,,,,
2017-01-11,20:05:00,середа,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",36,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,без ушкоджень,легко травмований,,,,,,,,49.799577,24.047881,,,,,,,,,,,
2017-02-14,8:40:00,вівторок,місто,Львів,Галицький,вулиця,Бандери С.,,,наїзд на пішохода - на нерегульованому пішохідному переході,,2,без ушкоджень,тяжко травмований,,,,,,,,49.834716,24.019418,,,,,,,,,,,
2017-02-19,3:40:00,неділя,місто,Львів,Личаківський,вулиця,Кривчицька Дорога,,,наїзд на інші види перешкод,перевищення безпечної швидкості,2,тяжко травмований,тяжко травмований,,,,,,,,49.840051,24.066705,,,,,,,,,,,
2017-02-16,22:29:00,четвер,місто,Львів,Залізничний,вулиця,Городоцька,,,зіткнення з задньою частиною ТЗ,,3,без ушкоджень,тяжко травмований,тяжко травмований,,,,,,,49.830786,23.969529,,,,,,,,,,,
