accidentDate;accidentTime;accidentDay;settlementType;settlement;district;streetType;streetName;houseNumber;locationComments;accidentType;mainAccidentCause;totalParticipantsAmount;injuryStatusParticipant1;injuryStatusParticipant2;injuryStatusParticipant3;injuryStatusParticipant4;injuryStatusParticipant5;injuryStatusParticipant6;latitude;longitude
2023-01-09;20:10:00;понеділок;місто;Львів;Франківський;вулиця;Кобилиці Л.;19;null;наїзд на інші види перешкод;порушення правил маневрування;1;легко травмований;null;null;null;null;null;49.816849;23.998309
2023-01-31;11:03:00;вівторок;місто;Львів;Галицький;вулиця;Політехнічна;7;null;наїзд на пішохода - пішохід рухався у попутному напрямку;перехід у невстановленому місці, неочікуваний вихід на проїзну частину;2;без ушкоджень;легко травмований;null;null;null;null;49.834052;24.014472
2023-01-13;23:26:00;п'ятниця;місто;Львів;Франківський;вулиця;Стрийська;280а;null;наїзд на дорожний знак, бордюрний камінь;порушення правил маневрування;1;легко травмований;null;null;null;null;null;49.789604;24.015126
2023-01-20;21:12:00;п'ятниця;місто;Львів;Личаківський;вулиця;Глинянський Тракт;8;null;зіткнення бокове;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.83656;24.07163
2023-01-15;18:52:00;неділя;місто;Львів;Залізничний;вулиця;Кульпарківська;null;вул. Кульпарківська - вул. Перфецького Л.;наїзд на пішохода - на нерегульованому пішохідному переході;неочікуваний вихід на проїзну частину;2;без ушкоджень;легко травмований;null;null;null;null;49.815014;23.985659
2023-01-20;12:10:00;п'ятниця;місто;Львів;Франківський;вулиця;Героїв УПА;63;null;наїзд на транспортний засіб, що стоїть - по ходу руху;перевищення безпечної швидкості, недодержання дистанції, керування транспортним засобом у нетверезому стані;3;без ушкоджень;без ушкоджень;легко травмований;null;null;null;49.831042;23.996678
2023-01-15;21:53:00;неділя;місто;Львів;Франківський;вулиця;Наукова;35;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.80449;23.991668
2023-02-10;23:08:00;п'ятниця;місто;Львів;Шевченківський;проспект;Чорновола В., просп.;66;null;наїзд на пішохода - на нерегульованому пішохідному переході;неочікуваний вихід на проїзну частину;3;без ушкоджень;тяжко травмований;тяжко травмований;null;null;null;49.860874;24.019504
2023-01-26;20:45:00;четвер;місто;Львів;Сихівський;проспект;Червоної Калини, просп.;81;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;тяжко травмований;null;null;null;null;49.79484;24.057124
2023-01-11;18:14:00;середа;село;Зашків;Шевченківський;вулиця;Коновальця Є.;88;null;наїзд на пішохода - пішохід рухався у попутному напрямку;перевищення безпечної швидкості, недодержання дистанції;2;без ушкоджень;легко травмований;null;null;null;null;49.954658;23.99399
2023-01-26;11:53:00;четвер;місто;Львів;Франківський;вулиця;Зерова М.;4;null;наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу;неочікуваний вихід на проїзну частину, керування транспортним засобом у нетверезому стані;2;без ушкоджень;легко травмований;null;null;null;null;49.833422;23.994892
2023-01-24;17:34:00;вівторок;місто;Львів;Залізничний;вулиця;Городоцька;null;вул. Городоцька - вул. Ряшівська;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.828093;23.95454
2023-01-20;18:58:00;п'ятниця;місто;Львів;Шевченківський;вулиця;Липинського В.;54д;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.865141;24.04337
2023-02-02;19:01:00;четвер;місто;Львів;Сихівський;проспект;Червоної Калини, просп.;62;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.792011;24.058444
2023-01-25;16:25:00;середа;місто;Львів;Залізничний;вулиця;Левандівська;10;null;зіткнення бокове;порушення правил проїзду перехресть;3;без ушкоджень;легко травмований;легко травмований;null;null;null;49.848686;23.994763
2023-01-12;14:50:00;четвер;місто;Львів;Галицький;вулиця;Городоцька;44;null;зіткнення бокове;недодержання дистанції;3;без ушкоджень;без ушкоджень;легко травмований;null;null;null;49.840345;24.012465
2023-01-25;12:13:00;середа;місто;Львів;Шевченківський;вулиця;Єрошенка В.;27;null;зіткнення бокове;порушення правил маневрування;4;без ушкоджень;без ушкоджень;без ушкоджень;легко травмований;null;null;49.855756;24.009976
2023-01-10;22:52:00;вівторок;місто;Львів;Сихівський;проспект;Червоної Калини, просп.;91;null;зіткнення бокове;перевищення безпечної швидкості, недодержання дистанції, керування транспортним засобом у нетверезому стані;3;легко травмований;легко травмований;легко травмований;null;null;null;49.790519;24.059077
2023-01-31;11:04:00;вівторок;місто;Львів;Шевченківський;вулиця;Миколайчука І.;null;вул. Миколайчука І. - вул. Мазепи І., гетьм;зіткнення бокове;невиконання вимог сигналів регулювання;3;без ушкоджень;без ушкоджень;тяжко травмований;null;null;null;49.872236;24.042195
2023-01-28;18:52:00;субота;місто;Львів;Шевченківський;вулиця;Миколайчука І.;8а;null;наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу;неочікуваний вихід на проїзну частину, перехід у невстановленому місці;2;без ушкоджень;тяжко травмований;null;null;null;null;49.874625;24.041444
2023-01-19;21:30:00;четвер;місто;Львів;Залізничний;вулиця;Виговського І.;100;null;наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.813296;23.977366
2023-01-19;10:10:00;четвер;місто;Львів;Франківський;вулиця;Стрийська;null;вул. Стрийська - вул. Володимира Великого;зіткнення бокове;порушення правил проїзду перехресть;4;без ушкоджень;без ушкоджень;без ушкоджень;легко травмований;null;null;49.808171;24.019133
2023-02-13;6:16:00;понеділок;місто;Львів;Залізничний;вулиця;Кульпарківська;null;null;наїзд на пішохода - на регульованому пішохідному переході;неочікуваний вихід на проїзну частину;2;без ушкоджень;помер у лікарні протягом 30 діб;null;null;null;null;49.813737;23.984957
2023-02-13;19:49:00;понеділок;місто;Львів;Франківський;вулиця;Стрийська;null;вул. Стрийська - вул. Наукова;падіння пасажира;порушення правил перевезення пасажирів;2;без ушкоджень;легко травмований;null;null;null;null;49.801911;24.017932
2023-02-08;14:29:00;середа;місто;Львів;Франківський;вулиця;Сахарова А., акад.;82;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.819947;24.017878
2023-02-14;18:05:00;вівторок;місто;Львів;Шевченківський;вулиця;Мазепи І., гетьм.;25;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.873059;24.040387
2023-02-13;19:44:00;понеділок;місто;Львів;Личаківський;вулиця;Богданівська;null;вул. Богданівська - вул. Кривчицька Дорога;зіткнення бокове;порушення правил проїзду перехресть;3;без ушкоджень;без ушкоджень;легко травмований;null;null;null;49.847994;24.084622
2023-01-21;15:27:00;субота;місто;Львів;Сихівський;вулиця;Стрийська;35;null;зіткнення бокове;недодержання дистанції, перевищення безпечної швидкості;3;без ушкоджень;без ушкоджень;легко травмований;null;null;null;49.816084;24.019922
2023-01-22;18:01:00;неділя;місто;Львів;Шевченківський;вулиця;Липинського В.;11;null;наїзд на велосипедиста - на велосипедній доріжці;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.858204;24.024262
2023-01-24;10:26:00;вівторок;місто;Львів;Шевченківський;вулиця;Шевченка Т.;400;null;наїзд на пішохода - пішохід рухався у попутному напрямку;управління несправним транспортним засобом;1;тяжко травмований;null;null;null;null;null;49.872129;23.95019
2023-02-03;14:29:00;п'ятниця;місто;Львів;Залізничний;вулиця;Гніздовського Я.;4;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил маневрування, порушення правил проїзду пішохідних переходів;2;без ушкоджень;тяжко травмований;null;null;null;null;49.839048;23.969604
2023-01-13;11:20:00;п'ятниця;місто;Львів;Франківський;вулиця;Володимира Великого;null;вул. Володимира Великого - вул. Княгині Ольги;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.810642;23.999312
2023-01-13;17:21:00;п'ятниця;місто;Львів;Шевченківський;вулиця;Мазепи І., гетьм.;1б;null;зіткнення бокове;порушення правил маневрування;2;без ушкоджень;помер на місці дтп;null;null;null;null;49.869449;24.023345
2023-01-12;0:02:00;четвер;місто;Львів;Шевченківський;вулиця;Величковського І.;32;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.877014;23.933909
2023-01-16;15:35:00;понеділок;місто;Львів;Залізничний;вулиця;Городоцька;300;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил проїзду пішохідних переходів;2;без ушкоджень;тяжко травмований;null;null;null;null;49.821566;23.918674
2023-01-31;18:17:00;вівторок;місто;Львів;Франківський;вулиця;Симоненка В.;null;вул. Симоненка В. - вул. Володимира Великого;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.811494;23.989162
2023-01-16;19:24:00;понеділок;місто;Львів;Сихівський;проспект;Червоної Калини, просп.;7;null;наїзд на пішохода - на нерегульованому пішохідному переході;перехід у невстановленому місці, неочікуваний вихід на проїзну частину;2;без ушкоджень;тяжко травмований;null;null;null;null;49.813;24.045757
2023-01-31;13:56:00;вівторок;місто;Львів;Шевченківський;проспект;Чорновола В., просп.;105;null;зіткнення бокове;порушення правил надання безперешкодного проїзду, порушення правил проїзду перехресть;3;без ушкоджень;без ушкоджень;легко травмований;null;null;null;49.867071;24.015663
2023-01-13;14:13:00;п'ятниця;місто;Львів;Галицький;площа;Міцкевича А., пл.;4;null;наїзд на пішохода - пішохід рухався у попутному напрямку;перехід у невстановленому місці, неочікуваний вихід на проїзну частину;2;без ушкоджень;тяжко травмований;null;null;null;null;49.839176;24.030141
2023-01-12;11:22:00;четвер;місто;Львів;Залізничний;вулиця;Хотинська;2;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил проїзду пішохідних переходів;2;без ушкоджень;тяжко травмований;null;null;null;null;49.837931;24.004864
2023-01-17;21:22:00;вівторок;село;Рясне-Руське;Залізничний;площа;Центральна;1;null;зіткнення бокове;порушення правил маневрування, перевищення безпечної швидкості;2;без ушкоджень;легко травмований;null;null;null;null;49.87365;23.905206
2023-02-02;6:33:00;четвер;місто;Львів;Шевченківський;вулиця;Липинського В.;225;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.864913;24.051354
2023-01-21;14:49:00;субота;місто;Львів;Франківський;вулиця;Кобилиці Л.;null;вул. Кобилиці Л. - вул. Княгині Ольги;зіткнення бокове;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.815887;24.001957
2023-02-11;22:50:00;субота;місто;Львів;Личаківський;вулиця;Пасічна;102;null;зіткнення бокове;виїзд на смугу зустрічного руху, недодержання дистанції, керування транспортним засобом у нетверезому стані, невиконання вимог сигналів регулювання;3;без ушкоджень;без ушкоджень;легко травмований;null;null;null;49.815544;24.077756
2023-01-21;19:50:00;субота;місто;Львів;Залізничний;вулиця;Сяйво;8;null;наїзд на пішохода - пішохід рухався у попутному напрямку;недодержання дистанції;2;без ушкоджень;легко травмований;null;null;null;null;49.836605;23.977098
2023-01-05;7:54:00;четвер;місто;Львів;Франківський;вулиця;Городоцька;177;null;наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу;перехід у невстановленому місці;2;без ушкоджень;легко травмований;null;null;null;null;49.835529;23.995847
2023-01-13;8:40:00;п'ятниця;місто;Львів;Сихівський;вулиця;Стуса В.;57а;null;наїзд на інші види перешкод;перевищення безпечної швидкості, порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.817105;24.045124
2023-01-03;20:30:00;вівторок;місто;Львів;Шевченківський;вулиця;Шевченка Т.;136;null;наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу;неочікуваний вихід на проїзну частину, перехід у невстановленому місці;2;без ушкоджень;тяжко травмований;null;null;null;null;49.851456;23.99089
2023-01-30;12:58:00;понеділок;місто;Львів;Личаківський;вулиця;Хмельницького Б.;294;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.873705;24.060665
2023-01-25;17:57:00;середа;місто;Львів;Франківський;вулиця;Коновальця Є.;30;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;тяжко травмований;null;null;null;null;49.832322;24.005958
2023-01-24;20:20:00;вівторок;місто;Львів;Шевченківський;вулиця;Леонтовича М.;1;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.842957;24.018517
2023-02-10;8:26:00;п'ятниця;місто;Львів;Франківський;вулиця;Володимира Великого;33;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.808853;24.008024
2023-01-25;10:50:00;середа;місто;Львів;Франківський;вулиця;Бандери С.;75;null;зіткнення бокове;недодержання дистанції;2;без ушкоджень;легко травмований;null;null;null;null;49.834976;24.006672
2023-01-20;19:52:00;п'ятниця;місто;Львів;Франківський;вулиця;Кульпарківська;4;null;наїзд на пішохода - на нерегульованому пішохідному переході;неочікуваний вихід на проїзну частину;2;без ушкоджень;легко травмований;null;null;null;null;49.832858;23.990766
2023-01-16;9:22:00;понеділок;місто;Львів;Сихівський;вулиця;Чукаріна В.;28;null;падіння пасажира;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.799612;24.041911
2023-01-04;22:21:00;середа;місто;Львів;Франківський;вулиця;Наукова;null;вул. Наукова - вул. Симоненка В.;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.80539;23.986867
2023-01-23;9:46:00;понеділок;місто;Львів;Залізничний;вулиця;Любінська;91в;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;помер у лікарні протягом 30 діб;null;null;null;null;49.821431;23.975022
2023-01-18;22:58:00;середа;місто;Львів;Шевченківський;вулиця;Миколайчука І.;9;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;тяжко травмований;null;null;null;null;49.874628;24.041487
2023-02-13;12:44:00;понеділок;місто;Львів;Галицький;вулиця;Бандери С.;5;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.834747;24.01812
2023-01-27;12:29:00;п'ятниця;місто;Львів;Галицький;проспект;Свободи, просп.;35;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.842978;24.026392
2023-01-14;19:26:00;субота;місто;Львів;Франківський;вулиця;Чупринки Т., ген.;null;вул. Чупринки Т., ген. - вул. Київська;зіткнення бокове;порушення правил маневрування, недодержання дистанції;2;без ушкоджень;легко травмований;null;null;null;null;49.832353;24.012063
2023-02-10;21:15:00;п'ятниця;місто;Львів;Франківський;вулиця;Стрийська;150;null;зіткнення бокове;недодержання дистанції, керування транспортним засобом у нетверезому стані, перевищення безпечної швидкості, порушення правил маневрування;3;без ушкоджень;без ушкоджень;легко травмований;null;null;null;49.80308324275269;24.018184232282415
2023-01-25;18:30:00;середа;місто;Львів;Залізничний;вулиця;Городоцька;280;null;наїзд на пішохода - на нерегульованому пішохідному переході;перевищення безпечної швидкості, недодержання дистанції;2;без ушкоджень;легко травмований;null;null;null;null;49.824211;23.930583
2023-01-10;20:36:00;вівторок;місто;Львів;Шевченківський;вулиця;Брюховицька;184;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.873799;23.952035
2023-02-04;20:38:00;субота;місто;Львів;Залізничний;вулиця;Виговського І.;13;null;наїзд на пішохода - пішохід рухався у попутному напрямку;перехід у невстановленому місці;2;без ушкоджень;легко травмований;null;null;null;null;49.827391;23.967909
2023-01-15;11:35:00;неділя;місто;Львів;Галицький;вулиця;Городоцька;30;null;падіння пасажира;порушення правил маневрування;2;без ушкоджень;тяжко травмований;null;null;null;null;49.842843;24.01923
2023-01-20;17:35:00;п'ятниця;село;Підбірці;Личаківський;вулиця;Тракт-Глинянський;1а;null;зіткнення бокове;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.842044;24.141324
2023-04-23;10:39:00;неділя;місто;Львів;Галицький;вулиця;Свєнціцького І.;18;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.824785;24.035935
2023-04-16;8:17:00;неділя;місто;Львів;Личаківський;вулиця;Лисенка М.;15;null;зіткнення бокове;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.843462;24.040076
2023-04-24;16:01:00;понеділок;місто;Львів;Залізничний;вулиця;Левандівська;5;null;зіткнення бокове;недодержання дистанції;2;без ушкоджень;тяжко травмований;null;null;null;null;49.846403;23.990005
2023-05-06;19:12:00;субота;місто;Львів;Шевченківський;вулиця;Липинського В.;null;null;зіткнення бокове;порушення правил маневрування;3;без ушкоджень;без ушкоджень;легко травмований;null;null;null;49.860079;24.026842
2023-05-09;17:46:00;вівторок;місто;Львів;Залізничний;вулиця;Гніздовського Я.;4;null;наїзд на пішохода - на регульованому пішохідному переході;перевищення безпечної швидкості, недодержання дистанції;2;без ушкоджень;помер у лікарні протягом 30 діб;null;null;null;null;49.841411;23.969271
2023-05-08;15:35:00;понеділок;місто;Львів;Франківський;вулиця;Героїв УПА;73;null;зіткнення бокове;порушення правил маневрування, перевищення безпечної швидкості;4;без ушкоджень;без ушкоджень;без ушкоджень;легко травмований;null;null;49.829114;23.992483
2023-04-18;17:50:00;вівторок;місто;Львів;Галицький;вулиця;Бандери С.;28а;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.834841;24.008764
2023-04-17;22:25:00;понеділок;місто;Львів;Франківський;вулиця;Городоцька;155;null;падіння пасажира;порушення правил маневрування;2;без ушкоджень;тяжко травмований;null;null;null;null;49.836128;23.99929
2023-05-10;11:18:00;середа;місто;Львів;Франківський;вулиця;Наукова;35;null;зіткнення бокове;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.803947;23.997123
2023-05-06;13:26:00;субота;місто;Львів;Франківський;вулиця;Чупринки Т., ген.;38;null;наїзд на пішохода - на регульованому пішохідному переході;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.832336;24.011972
2023-05-10;15:27:00;середа;місто;Львів;Галицький;вулиця;Хмельницького Б.;28;null;наїзд на пішохода - на регульованому пішохідному переході;порушення правил проїзду пішохідних переходів, керування транспортним засобом у нетверезому стані;2;без ушкоджень;легко травмований;null;null;null;null;49.84765;24.028991
2023-04-24;13:56:00;понеділок;місто;Львів;Франківський;вулиця;Героїв УПА;8;null;наїзд на пішохода - пішохід рухався у попутному напрямку;виїзд на смугу зустрічного руху;2;без ушкоджень;легко травмований;null;null;null;null;49.835007;24.004194
2023-04-01;21:01:00;субота;місто;Львів;Сихівський;проспект;Червоної Калини, просп.;60;null;наїзд на пішохода - пішохід рухався у попутному напрямку;пішоходи невиконання вимог сигналів регулювання;2;без ушкоджень;легко травмований;null;null;null;null;49.794453;24.053975
2023-05-01;17:08:00;понеділок;місто;Львів;Залізничний;вулиця;Бортнянського Д.;25;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.846719;24.00211
2023-04-28;18:30:00;п'ятниця;місто;Львів;Залізничний;вулиця;Широка;67;null;наїзд на пішохода - на регульованому пішохідному переході;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.841961;23.968976
2023-04-30;0:35:00;неділя;місто;Львів;Шевченківський;вулиця;Шевченка Т.;384;null;наїзд на інші види перешкод;перевищення безпечної швидкості;1;легко травмований;null;null;null;null;null;49.870497;23.945721
2023-04-13;18:40:00;четвер;місто;Львів;Галицький;вулиця;Листопадового Чину;22;null;перекидання тз;перевищення безпечної швидкості, недодержання дистанції;2;без ушкоджень;легко травмований;null;null;null;null;49.839204;24.01768
2023-05-09;18:40:00;вівторок;місто;Львів;Шевченківський;вулиця;Мазепи І., гетьм.;34;null;наїзд на пішохода - стояв на проїздній частині;перехід у невстановленому місці;3;без ушкоджень;без ушкоджень;легко травмований;null;null;null;49.872578;24.044185
2023-05-02;21:42:00;вівторок;місто;Львів;Залізничний;вулиця;Кузневича Г.;5;null;зіткнення лобове;порушення правил маневрування, керування транспортним засобом у нетверезому стані;2;без ушкоджень;тяжко травмований;null;null;null;null;49.833533;23.980135
2023-03-28;20:55:00;вівторок;місто;Львів;Шевченківський;вулиця;Яблонської С.;null;null;наїзд на пішохода - на регульованому пішохідному переході;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.85377;24.027529
2023-05-05;0:50:00;п'ятниця;місто;Львів;Сихівський;вулиця;Зелена;null;вул. Зелена - вул. Пасічна;наїзд на інші види перешкод;перевищення безпечної швидкості, керування транспортним засобом у нетверезому стані;2;легко травмований;тяжко травмований;null;null;null;null;49.806329;24.062097
2023-04-23;15:30:00;неділя;місто;Львів;Галицький;вулиця;Підвальна;null;null;падіння пасажира;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.842207;24.03527
2023-04-11;23:22:00;вівторок;місто;Львів;Франківський;вулиця;Окружна;null;null;зіткнення бокове;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.826425;23.98412
2023-05-04;15:29:00;четвер;місто;Львів;Личаківський;вулиця;Глинянський Тракт;161;null;наїзд на пішохода - на регульованому пішохідному переході;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.842023;24.101129
2023-04-07;7:39:00;п'ятниця;місто;Львів;Залізничний;вулиця;Городоцька;98;null;наїзд на пішохода - стояв на проїздній частині;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.837446;24.00481
2023-04-27;6:48:00;четвер;місто;Львів;Личаківський;вулиця;Пасічна;2;null;падіння пасажира;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.835301;24.068186
2023-04-27;12:51:00;четвер;місто;Львів;Залізничний;вулиця;Городоцька;280;null;наїзд на пішохода - стояв на проїздній частині;порушення правил маневрування;2;без ушкоджень;тяжко травмований;null;null;null;null;49.823864;23.930411
2023-05-05;10:37:00;п'ятниця;місто;Львів;Сихівський;проспект;Святого Івана Павла ІІ, просп.;4б;null;зіткнення лобове;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.799792;24.026515
2023-04-15;12:01:00;субота;місто;Львів;Личаківський;вулиця;Вовка Ф.;null;вул. Вовка Ф. - вул. Богданівська;зіткнення бокове;перевищення безпечної швидкості;2;без ушкоджень;легко травмований;null;null;null;null;49.844092;24.084874
2023-05-05;21:13:00;п'ятниця;місто;Львів;Галицький;вулиця;Словацького Ю.;null;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.837602;24.022529
2023-04-28;16:54:00;п'ятниця;місто;Львів;Сихівський;проспект;Червоної Калини, просп.;62;null;наїзд на інші види перешкод;порушення правил маневрування;1;легко травмований;null;null;null;null;null;49.796187;24.054244
2023-04-29;15:50:00;субота;місто;Львів;Галицький;вулиця;Кривоноса М.;5;null;зіткнення бокове;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.844846;24.038789
2023-03-01;15:08:00;середа;місто;Львів;Шевченківський;вулиця;Торф'яна;null;null;наїзд на пішохода - стояв на проїздній частині;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.861642;24.025018
2023-05-01;21:40:00;понеділок;місто;Львів;Сихівський;проспект;Святого Івана Павла ІІ, просп.;5;null;зіткнення з задньою частиною тз;перевищення безпечної швидкості, недодержання дистанції;3;без ушкоджень;без ушкоджень;легко травмований;null;null;null;49.800658;24.030533
2023-04-17;15:46:00;понеділок;місто;Львів;Галицький;вулиця;Личаківська;7;null;наїзд на інші види перешкод;порушення правил маневрування;2;легко травмований;легко травмований;null;null;null;null;49.839937;24.038327
2023-04-19;20:45:00;середа;місто;Львів;Галицький;вулиця;Дорошенка П.;52;null;перекидання тз;перевищення безпечної швидкості;1;легко травмований;null;null;null;null;null;49.836934;24.021467
2023-04-18;10:50:00;вівторок;місто;Львів;Галицький;вулиця;Тарнавського М., ген.;62;null;наїзд на пішохода - пішохід рухався у попутному напрямку;недодержання дистанції;2;без ушкоджень;легко травмований;null;null;null;null;49.82891;24.036541
2023-05-12;12:10:00;п'ятниця;місто;Львів;Галицький;площа;700-річчя Львова, пл.;21;null;падіння пасажира;порушення правил маневрування;3;без ушкоджень;без ушкоджень;легко травмований;null;null;null;49.85046;24.024653
2023-05-02;13:31:00;вівторок;місто;Львів;Залізничний;вулиця;Щирецька;1;null;зіткнення лобове;перевищення безпечної швидкості, недодержання дистанції;2;легко травмований;легко травмований;null;null;null;null;49.80679;23.97559
2023-04-10;21:04:00;понеділок;місто;Львів;Шевченківський;проспект;Чорновола В., просп.;95;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил проїзду пішохідних переходів;2;без ушкоджень;тяжко травмований;null;null;null;null;49.86645;24.016316
2023-04-18;12:22:00;вівторок;місто;Львів;Шевченківський;вулиця;Тунельна;24;null;зіткнення бокове;недодержання дистанції;4;без ушкоджень;без ушкоджень;без ушкоджень;легко травмований;null;null;49.863606;24.006286
2023-05-05;16:20:00;п'ятниця;місто;Львів;Залізничний;вулиця;Петлюри С.;30;null;падіння пасажира;порушення правил проїзду зупинок громадського транспорту, порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.81994;23.980692
2023-04-02;16:30:00;неділя;місто;Львів;Сихівський;вулиця;Броварського Л.;null;вул. Броварського Л. - вул. Стрийська;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;тяжко травмований;null;null;null;null;49.7681;24.029911
2023-04-21;16:42:00;п'ятниця;місто;Львів;Залізничний;вулиця;Чернівецька;null;null;наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу;порушення правил маневрування;2;без ушкоджень;тяжко травмований;null;null;null;null;49.839187;23.995765
