accidentDate;accidentTime;accidentDay;settlementType;settlement;district;streetType;streetName;houseNumber;locationComments;accidentType;mainAccidentCause;totalParticipantsAmount;injuryStatusParticipant1;injuryStatusParticipant2;injuryStatusParticipant3;injuryStatusParticipant4;injuryStatusParticipant5;injuryStatusParticipant6;latitude;longitude
2023-08-17;15:20:00;четвер;місто;Львів;Залізничний;вулиця;Чорнобаївська;29;null;наїзд на велосипедиста - поза межами велосипедної доріжки;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.819528;23.969244
2023-08-12;17:20:00;субота;село;Великі Грибовичі;Шевченківський;вулиця;Дублянська;106;null;наїзд на інші види перешкод;перевищення безпечної швидкості;1;легко травмований;null;null;null;null;null;49.910526;24.066843
2023-07-27;11:50:00;четвер;місто;Львів;Галицький;проспект;Свободи, просп.;null;просп. Свободи - вул. Дорошенка П.;наїзд на пішохода - на нерегульованому пішохідному переході;пішоходи невиконання вимог сигналів регулювання;2;без ушкоджень;легко травмований;null;null;null;null;49.84041;24.02772
2023-08-19;21:08:00;субота;село;Великі Грибовичі;Шевченківський;вулиця;Львівська;2;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.911115;24.053976
2023-08-13;23:10:00;неділя;місто;Львів;Залізничний;вулиця;Кульпарківська;226;null;зіткнення бокове;недодержання дистанції, керування транспортним засобом у нетверезому стані, перевищення безпечної швидкості, порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.804729;23.981159
2023-08-14;19:54:00;понеділок;місто;Львів;Сихівський;проспект;Червоної Калини, просп.;59;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.796464;24.053664
2023-08-15;13:50:00;вівторок;місто;Львів;Шевченківський;вулиця;Липинського В.;58;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил проїзду перехресть;2;без ушкоджень;легко травмований;null;null;null;null;49.865238;24.048509
2023-08-05;18:15:00;субота;місто;Львів;Залізничний;вулиця;Городоцька;null;вул. Городоцька - вул. Ряшівська;зіткнення лобове;невиконання вимог сигналів регулювання;2;без ушкоджень;легко травмований;null;null;null;null;49.82817;23.95457
2023-08-23;11:20:00;середа;місто;Львів;Сихівський;вулиця;Максимовича М.;61;null;зіткнення бокове;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.79383;24.02034
2023-08-06;14:25:00;неділя;місто;Львів;Залізничний;вулиця;Кульпарківська;226;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.804989;23.980891
2023-08-05;11:49:00;субота;місто;Львів;Франківський;вулиця;Володимира Великого;55;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.809521;24.002681
2023-08-04;17:55:00;п'ятниця;село;Малехів;Шевченківський;вулиця;Сковороди Г.;25;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.886793;24.081791
2023-08-16;21:12:00;середа;місто;Львів;Галицький;вулиця;Франка І.;108;null;наїзд на пішохода - на нерегульованому пішохідному переході;порушення правил проїзду пішохідних переходів;2;без ушкоджень;тяжко травмований;null;null;null;null;49.827034;24.033741
2023-08-09;9:35:00;середа;місто;Львів;Сихівський;вулиця;Стрийська;null;вул. Стрийська - вул. Мікльоша К.;зіткнення бокове;перевищення безпечної швидкості, порушення правил проїзду перехресть;2;без ушкоджень;легко травмований;null;null;null;null;49.783772;24.014182
2023-07-28;8:46:00;п'ятниця;місто;Львів;Сихівський;вулиця;Стрийська;57;null;наїзд на пішохода - стояв на проїздній частині;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.798421;24.018527
2023-08-17;12:09:00;четвер;місто;Львів;Личаківський;вулиця;Мечникова І.;null;вул. Мечникова І. - вул. Шімзерів;наїзд на пішохода - на нерегульованому пішохідному переході;перевищення безпечної швидкості;2;без ушкоджень;легко травмований;null;null;null;null;49.834699;24.0527
2023-08-23;13:40:00;середа;місто;Львів;Франківський;вулиця;Кульпарківська;34;null;зіткнення бокове;порушення правил маневрування;3;без ушкоджень;легко травмований;легко травмований;null;null;null;49.830491;23.99052
