accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,latitude,longitude
2018-08-18,11:50:00,субота,місто,Львів,Залізничний,вулиця,Широка,null,перехрестя вул. Широка - вул. Суботівська,наїзд на пішохода - на регульованому пішохідному переході,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.841747,23.967533
2018-08-08,15:01:00,середа,місто,Львів,Галицький,вулиця,Газова,26,null,наїзд на велосипедиста - поза межами велосипедної доріжки,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.848461,24.022588
2018-08-18,22:49:00,субота,місто,Львів,Франківський,вулиця,Стрийська,null,Перехрестя вул. Стрийська - вул. Наукова,зіткнення лобове,виїзд на смугу зустрічного руху,6,легко травмований,легко травмований,легко травмований,без ушкоджень,без ушкоджень,легко травмований,null,null,49.801863,24.01798
2018-07-28,10:30:00,субота,місто,Львів,Шевченківський,вулиця,Липинського В.,null,перехрестя вул. Липинського В. - вул. Бетховена Л.,зіткнення бокове,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.863542,24.033313
2018-08-21,14:32:00,вівторок,місто,Львів,Залізничний,вулиця,Петлюри С.,37,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.819518,23.981003
2018-08-09,16:40:00,четвер,місто,Львів,Залізничний,вулиця,Городоцька,276,null,зіткнення з задньою частиною тз,недодержання дистанції,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,49.824446,23.931962
2018-08-23,9:51:00,четвер,місто,Львів,Галицький,площа,"Соборна, пл.",12,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"перевищення безпечної швидкості , недодержання дистанції",2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.838398,24.034781
2018-09-03,13:10:00,понеділок,місто,Львів,Франківський,вулиця,Княгині Ольги,5А,null,наїзд на велосипедиста - поза межами велосипедної доріжки,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.822743,24.006881
2018-08-22,4:22:00,середа,місто,Львів,Личаківський,вулиця,Хмельницького Б.,267,null,наїзд на інші види перешкод,недодержання дистанції,1,легко травмований,null,null,null,null,null,null,null,49.871244,24.058396
2018-08-10,21:40:00,п'ятниця,місто,Львів,Залізничний,вулиця,Городоцька,282,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,помер у лікарні протягом 30 діб,null,null,null,null,null,null,49.823574,23.927434
2018-08-11,9:40:00,субота,місто,Львів,Сихівський,вулиця,Зелена,273,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,49.802039,24.066201
2018-08-07,11:01:00,вівторок,місто,Львів,Личаківський,вулиця,Глинянський Тракт,1,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.835996,24.070283
2018-08-27,18:27:00,понеділок,місто,Львів,Сихівський,вулиця,Стуса В.,51,null,наїзд на інші види перешкод,порушення правил маневрування,1,тяжко травмований,null,null,null,null,null,null,null,49.817659,24.044614
2018-08-27,18:44:00,понеділок,місто,Львів,Залізничний,вулиця,Сяйво,11А,null,зіткнення лобове,порушення правил маневрування,2,тяжко травмований,без ушкоджень,null,null,null,null,null,null,49.83783,23.977017
2018-07-27,10:20:00,п'ятниця,місто,Львів,Франківський,вулиця,Окружна,null,перехрестя вул. Кульпарківська - вул. Окружна,зіткнення лобове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.824917,23.989635
2018-09-01,11:24:00,субота,місто,Львів,Залізничний,вулиця,Городоцька,357,null,зіткнення бокове,порушення правил маневрування,2,легко травмований,без ушкоджень,null,null,null,null,null,null,49.821812,23.923196
2018-08-14,20:47:00,вівторок,місто,Львів,Франківський,вулиця,Любінська,57,null,зіткнення лобове,порушення правил маневрування,4,легко травмований,без ушкоджень,тяжко травмований,легко травмований,null,null,null,null,49.82746,23.983557
2018-08-29,17:01:00,середа,місто,Львів,Шевченківський,вулиця,Величковського І.,32,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,49.877021,23.933904
2018-08-04,16:52:00,субота,місто,Львів,Залізничний,вулиця,Городоцька,172,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,легко травмований,легко травмований,null,null,null,null,null,null,49.831339,23.970784
2018-08-24,12:58:00,п'ятниця,місто,Львів,Сихівський,вулиця,Пасічна,125,null,зіткнення лобове,порушення правил маневрування,4,легко травмований,без ушкоджень,легко травмований,легко травмований,null,null,null,null,49.807291,24.071533
2018-07-28,12:16:00,субота,місто,Львів,Залізничний,вулиця,Виговського І.,100,null,зіткнення лобове,порушення правил маневрування,2,легко травмований,легко травмований,null,null,null,null,null,null,49.812252,23.98176
2018-08-03,9:55:00,п'ятниця,місто,Львів,Сихівський,вулиця,Рубчака І.,null,"перехрестя вул. Рубчака І., - вул. Стрийська",зіткнення лобове,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,49.805269,24.018753
2018-08-07,13:57:00,вівторок,місто,Львів,Сихівський,вулиця,Хуторівка,4Б,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,49.799796,24.026536
2018-08-20,23:50:00,понеділок,місто,Львів,Шевченківський,вулиця,Хмельницького Б.,275,null,наїзд на інші види перешкод,недодержання дистанції,1,легко травмований,null,null,null,null,null,null,null,49.874615,24.060305
2018-08-16,18:15:00,четвер,місто,Львів,Шевченківський,вулиця,Грінченка Б.,10,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,49.873422,24.053224
2018-08-10,13:13:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Липинського В.,54А,null,"наїзд на пішохода - пішоходний перехід, тз здійснював поворот вліво (вправо)",порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.864899,24.04117
2018-08-10,11:30:00,п'ятниця,селище,Брюховичі,Шевченківський,вулиця,Львівська,null,null,наїзд на велосипедиста - поза межами велосипедної доріжки,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.901601,23.959937
2018-08-05,4:01:00,неділя,місто,Львів,Галицький,проспект,"Свободи, просп.",49,null,наїзд на інші види перешкод,перевищення безпечної швидкості,1,легко травмований,null,null,null,null,null,null,null,49.844096,24.025716
2018-08-31,19:01:00,п'ятниця,місто,Львів,Залізничний,вулиця,П'ясецького А.,1,null,зіткнення з задньою частиною тз,перевищення безпечної швидкості,4,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.825858,23.936162
