accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,latitude,longitude
2020-01-24,12:10:00,п'ятниця,місто,Львів,Франківський,вулиця,Володимира Великого,111,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,тяжко травмований,,null,null,null,null,null,null,49.81112,23.991341
2020-01-07,19:40:00,вівторок,місто,Львів,Залізничний,вулиця,Городоцька,115,null,зіткнення бокове,порушення правил маневрування,4,без ушкоджень,легко травмований,легко травмований,легко травмований,null,null,null,null,null,49.838114,24.006795
2020-02-04,20:35:00,вівторок,місто,Львів,Шевченківський,вулиця,Золота,null,Перехрестя вул. Золота - вул. Турянського О.,зіткнення бокове,невиконання вимог сигналів регулювання,2,легко травмований,без ушкоджень,,null,null,null,null,null,null,49.85026,24.003947
2020-01-20,19:30:00,понеділок,місто,Львів,Галицький,вулиця,Стрийська,48,null,зіткнення бокове,виїзд на смугу зустрічного руху,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,49.824806,24.021133
2020-01-05,19:05:00,неділя,місто,Львів,Сихівський,вулиця,Стрийська,null,Перехрестя вул. Стрийська - вул. Наукова,наїзд на пішохода - пішохід рухався у попутному напрямку,пішоходи невиконання вимог сигналів регулювання,2,без ушкоджень,тяжко травмований,,null,null,null,null,null,null,49.801849,24.01798
2020-01-21,13:11:00,вівторок,місто,Львів,Залізничний,вулиця,Шевченка Т.,111А,null,наїзд на пішохода - пішохід рухався у попутному напрямку,неочікуваний вихід на проїзну частину,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.851543,23.990638
2020-01-28,14:36:00,вівторок,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",null,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.798566,24.048858
2020-01-14,6:50:00,вівторок,місто,Львів,Шевченківський,вулиця,Шевченка Т.,356,null,наїзд на пішохода - пішохід рухався у попутному напрямку,неочікуваний вихід на проїзну частину,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.868813,23.953121
2020-01-10,8:45:00,п'ятниця,місто,Львів,Залізничний,вулиця,Повітряна,null,Перехрестя вул. Повітряна - вул. Озерна,зіткнення бокове,невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.845853,23.982415
2020-01-27,8:17:00,понеділок,місто,Львів,Галицький,вулиця,Кривоноса М.,1,null,зіткнення бокове,"перевищення безпечної швидкості,недодержання дистанції",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,49.845327,24.035962
2020-02-04,17:28:00,вівторок,місто,Львів,Шевченківський,вулиця,Виговського І.,47,null,зіткнення бокове,порушення правил маневрування,3,легко травмований,без ушкоджень,без ушкоджень,null,null,null,null,null,null,49.816697,23.972844
2020-01-29,23:01:00,середа,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",93,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.862326,24.016942
2020-01-08,17:49:00,середа,місто,Львів,Залізничний,вулиця,Петлюри С.,34,null,наїзд на пішохода - пішохід рухався у попутному напрямку,неочікуваний вихід на проїзну частину,2,без ушкоджень,тяжко травмований,,null,null,null,null,null,null,49.817081,23.982366
2020-01-19,18:20:00,неділя,місто,Львів,Галицький,вулиця,Куліша П.,46,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"порушення правил маневрування,перевищення безпечної швидкості",2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.849654,24.024779
2020-01-26,7:05:00,неділя,місто,Львів,Франківський,вулиця,Антоновича В.,77,null,падіння пасажира,порушення правил маневрування,2,без ушкоджень,тяжко травмований,,null,null,null,null,null,null,49.829967,23.998213
2020-01-04,10:55:00,субота,місто,Львів,Залізничний,вулиця,Городоцька,226,null,зіткнення з задньою частиною тз,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.827587,23.949733
2020-01-24,15:38:00,п'ятниця,місто,Львів,Залізничний,вулиця,Чернівецька,null,null,зіткнення лобове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,49.837623,23.999977
2020-02-02,13:30:00,неділя,місто,Львів,Шевченківський,вулиця,Шевченка Т.,321,null,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,49.872786,23.928531
2020-01-20,9:01:00,понеділок,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",46,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.796793,24.050979
2020-01-04,12:01:00,субота,місто,Львів,Личаківський,вулиця,Личаківська,7,null,наїзд на пішохода - стояв на проїздній частині,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.839785,24.038274
2020-01-19,23:14:00,неділя,місто,Львів,Залізничний,вулиця,Городоцька,274,null,зіткнення лобове,перевищення безпечної швидкості,5,легко травмований,легко травмований,легко травмований,легко травмований,легко травмований,null,null,null,null,49.824193,23.9329
2020-02-01,12:54:00,субота,місто,Львів,Личаківський,вулиця,Зелена,64,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.8214,24.055252
2020-01-09,15:15:00,четвер,місто,Львів,Личаківський,вулиця,Пасічна,57,null,зіткнення лобове,перевищення безпечної швидкості,6,тяжко травмований,легко травмований,тяжко травмований,помер на місці дтп,тяжко травмований,тяжко травмований,null,null,null,49.827706,24.072574
2020-01-17,9:04:00,п'ятниця,місто,Львів,Франківський,вулиця,Городоцька,233,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.83184,23.975446
2020-02-04,12:50:00,вівторок,місто,Львів,Шевченківський,вулиця,Єрошенка В.,null,null,зіткнення бокове,"перевищення безпечної швидкості,керування транспортним засобом у нетверезому стані",2,легко травмований,легко травмований,,null,null,null,null,null,null,49.854891,24.002745
2020-02-05,13:50:00,середа,місто,Львів,Франківський,вулиця,Наукова,96Б,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,легко травмований,легко травмований,,null,null,null,null,null,null,49.805058,23.987821
2020-01-26,14:04:00,неділя,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",93,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.863073,24.017047
2020-01-20,11:45:00,понеділок,місто,Львів,Личаківський,вулиця,Глинянський Тракт,64,null,зіткнення лобове,перевищення безпечної швидкості,4,без ушкоджень,легко травмований,легко травмований,легко травмований,null,null,null,null,null,49.840006,24.084113
2020-01-01,1:22:00,середа,місто,Львів,Личаківський,вулиця,Пасічна,null,Перехрестя вул. Пасічна - вул. Медової Печери,зіткнення лобове,порушення правил проїзду перехресть,3,легко травмований,легко травмований,без ушкоджень,null,null,null,null,null,null,49.826661,24.072182
2020-02-04,20:49:00,вівторок,місто,Львів,Шевченківський,вулиця,Джерельна,1,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"невиконання вимог сигналів регулювання,порушення правил проїзду перехресть",2,без ушкоджень,тяжко травмований,,null,null,null,null,null,null,49.84549,24.020061
2020-02-03,16:35:00,понеділок,місто,Львів,Франківський,вулиця,"Рудницького С., акад.",16,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.822961,23.995391
2020-01-22,16:33:00,середа,місто,Львів,Франківський,вулиця,Бандери С.,87,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.835405,24.005261
2020-01-24,15:01:00,п'ятниця,місто,Львів,Галицький,вулиця,Дорошенка П.,1,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.840242,24.02732
2020-01-01,3:20:00,середа,місто,Львів,Галицький,вулиця,Стуса В.,7,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.823747,24.038043
2020-01-17,20:24:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Липинського В.,null,null,зіткнення лобове,перевищення безпечної швидкості,7,легко травмований,без ушкоджень,без ушкоджень,легко травмований,без ушкоджень,без ушкоджень,легко травмований,null,null,49.862638,24.030533
2020-01-29,6:02:00,середа,місто,Львів,Личаківський,вулиця,Пасічна,89,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.814772,24.079649
2020-02-10,23:40:00,понеділок,місто,Львів,Сихівський,вулиця,Стрийська,null,null,зіткнення лобове,перевищення безпечної швидкості,3,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,49.799328,24.017551
2020-02-24,10:45:00,понеділок,місто,Львів,Галицький,вулиця,Підвальна,13,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.842992,24.034513
2020-03-13,12:01:00,п'ятниця,місто,Львів,Франківський,вулиця,Наукова,10,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.806048,24.004837
2020-02-21,15:01:00,п'ятниця,місто,Львів,Залізничний,вулиця,Шевченка Т.,313,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.842407,23.861184
2020-03-02,18:20:00,понеділок,місто,Львів,Сихівський,вулиця,Хуторівка,4Б,null,зіткнення бокове,"перевищення безпечної швидкості,порушення правил маневрування,недодержання дистанції",2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.799636,24.026912
2020-03-03,15:30:00,вівторок,місто,Львів,Личаківський,вулиця,Личаківська,33,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"порушення правил маневрування,порушення правил проїзду пішохідних переходів",2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.840276,24.042769
2020-02-13,13:15:00,четвер,місто,Львів,Галицький,проспект,"Чорновола В., просп.",null,"Перехрестя Чорновола В.,просп. - вул. Під Дубом",зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.850478,24.02446
2020-03-07,22:13:00,субота,місто,Львів,Франківський,вулиця,Княгині Ольги,102,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.812512,23.999902
2020-03-18,20:25:00,середа,місто,Львів,Галицький,вулиця,Замарстинівська,31,null,зіткнення лобове,перевищення безпечної швидкості,2,легко травмований,без ушкоджень,,null,null,null,null,null,null,49.850111,24.02689
2020-02-24,10:30:00,понеділок,місто,Львів,Залізничний,вулиця,Кульпарківська, 230А,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.802891,23.980215
2020-03-06,23:07:00,п'ятниця,місто,Львів,Франківський,вулиця,Наукова,35,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.80449,23.991673
2020-03-09,0:40:00,понеділок,місто,Львів,Франківський,вулиця,Городоцька,169,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.835592,23.997027
2020-03-04,20:50:00,середа,місто,Львів,Галицький,вулиця,Стуса В.,null,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.82184,24.039164
2020-02-15,18:35:00,субота,місто,Львів,Франківський,вулиця,Наукова,53,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.804996,23.986684
2020-03-06,6:45:00,п'ятниця,місто,Львів,Галицький,проспект,"Свободи, просп.",3,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.840072,24.027974
2020-02-13,8:10:00,четвер,місто,Львів,Залізничний,вулиця,Шевченка Т.,60,null,зіткнення лобове,перевищення безпечної швидкості,3,легко травмований,без ушкоджень,без ушкоджень,null,null,null,null,null,null,49.847406,24.002048
2020-03-17,22:55:00,вівторок,місто,Львів,Сихівський,вулиця,Луганська,null,null,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,49.809701,24.031219
2020-02-13,9:07:00,четвер,місто,Львів,Галицький,вулиця,Франка І.,68,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.830343,24.031863
2020-02-17,12:46:00,понеділок,місто,Львів,Залізничний,вулиця,Авіаційна,2,null,зіткнення бокове,"недодержання дистанції,керування транспортним засобом у нетверезому стані",2,легко травмований,без ушкоджень,,null,null,null,null,null,null,49.820649,23.935314
2020-02-15,9:30:00,субота,місто,Львів,Галицький,вулиця,Замарстинівська,16,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"порушення правил маневрування,порушення правил проїзду пішохідних переходів",2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.848925,24.027695
2020-02-29,11:01:00,субота,місто,Львів,Шевченківський,вулиця,Шевченка Т.,317,null,зіткнення бокове,"перевищення безпечної швидкості,недодержання дистанції",4,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,49.871247,23.939005
2020-03-15,20:23:00,неділя,місто,Львів,Франківський,вулиця,Стрийська,null,Перехрестя вул. Стрийська - вул. Наукова,наїзд на пішохода - пішохід рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.801876,24.017959
2020-02-19,1:50:00,середа,місто,Львів,Шевченківський,вулиця,Винниця, 2Б,null,наїзд на інші види перешкод,перевищення безпечної швидкості,2,без ушкоджень,тяжко травмований,,null,null,null,null,null,null,49.861801,24.000642
2020-03-13,21:20:00,п'ятниця,місто,Львів,Залізничний,вулиця,Виговського І.,19,null,зіткнення бокове,порушення правил проїзду перехресть,4,без ушкоджень,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,49.825827,23.96866
2020-02-21,18:20:00,п'ятниця,місто,Львів,Сихівський,вулиця,Стрийська,109,null,зіткнення бокове,"перевищення безпечної швидкості,недодержання дистанції",3,без ушкоджень,легко травмований,без ушкоджень,null,null,null,null,null,null,49.787585,24.014949
2020-02-21,18:40:00,п'ятниця,місто,Львів,Франківський,вулиця,Володимира Великого,14,null,зіткнення бокове,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.810539,24.004623
2020-02-15,19:49:00,субота,місто,Львів,Франківський,вулиця,Наукова,3,null,зіткнення лобове,"порушення правил маневрування,невиконання вимог сигналів регулювання",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,49.802372,24.012734
2020-03-11,17:05:00,середа,місто,Львів,Залізничний,вулиця,Городоцька,238,null,зіткнення бокове,порушення правил проїзду перехресть,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,49.826868,23.946059
2020-02-22,12:12:00,субота,місто,Львів,Личаківський,вулиця,Пасічна,64,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.827983,24.070669
2020-03-12,21:20:00,четвер,місто,Львів,Галицький,вулиця,Банківська,null,Перехрестя вул. Банківська - вул. Дорошенка П.,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.839847,24.026622
2020-02-22,22:40:00,субота,місто,Львів,Залізничний,вулиця,Кузневича Г.,2,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"порушення правил маневрування,перевищення безпечної швидкості",2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.833969,23.982285
2020-02-24,3:15:00,понеділок,місто,Львів,Франківський,вулиця,Городоцька,null,Перехрестя вул. Городоцька - вул. Тобілевича І.,зіткнення бокове,"перевищення безпечної швидкості,порушення правил маневрування,керування транспортним засобом у нетверезому стані",3,легко травмований,без ушкоджень,без ушкоджень,null,null,null,null,null,null,49.836688,24.002541
2020-03-07,15:06:00,субота,місто,Львів,Личаківський,вулиця,Голубця М.,1,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.83346,24.068078
2020-02-15,19:15:00,субота,місто,Львів,Франківський,вулиця,Окружна,null,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"перевищення безпечної швидкості,недодержання дистанції",2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.827048,23.982725
2020-02-24,17:45:00,понеділок,місто,Львів,Личаківський,вулиця,Личаківська,17,null,зіткнення бокове,"перевищення безпечної швидкості,керування транспортним засобом у нетверезому стані",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,49.840103,24.039234
2020-02-24,23:20:00,понеділок,місто,Львів,Франківський,вулиця,Кульпарківська, 36/42,null,зіткнення бокове,недодержання дистанції,3,без ушкоджень,легко травмований,без ушкоджень,null,null,null,null,null,null,49.829595,23.990026
2020-03-20,19:01:00,п'ятниця,місто,Львів,Сихівський,вулиця,Хуторівка,2,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,"порушення правил проїзду пішохідних переходів,перевищення безпечної швидкості",2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.801662,24.020608
2020-02-27,23:30:00,четвер,місто,Львів,Залізничний,вулиця,Кульпарківська,108,null,зіткнення бокове,"невиконання вимог сигналів регулювання,керування транспортним засобом у нетверезому стані",3,легко травмований,без ушкоджень,легко травмований,null,null,null,null,null,null,49.820462,23.988127
2020-02-27,17:40:00,четвер,місто,Львів,Шевченківський,вулиця,Липинського В.,5,null,зіткнення бокове,"перевищення безпечної швидкості,порушення правил маневрування,недодержання дистанції",2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.856188,24.018479
2020-02-22,9:43:00,субота,місто,Львів,Шевченківський,вулиця,Липинського В.,50В,null,зіткнення з задньою частиною тз,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,49.864187,24.035388
2020-02-27,19:01:00,четвер,місто,Львів,Сихівський,вулиця,Трильовського К.,null,Перехрестя вул. Трильовського К. - вул. Коломийська,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.787734,24.066517
2020-03-01,13:40:00,неділя,місто,Львів,Личаківський,вулиця,Личаківська,151,null,наїзд на пішохода - пішохід рухався у попутному напрямку,невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.837668,24.060619
2020-02-14,20:10:00,п'ятниця,місто,Львів,Личаківський,вулиця,Ковельська,3,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.85366,24.055681
2020-02-16,22:35:00,неділя,місто,Львів,Залізничний,вулиця,Любінська,null,Перехрестя вул. Любінська - вул. Виговського І.,зіткнення бокове,порушення правил проїзду перехресть,5,легко травмований,легко травмований,легко травмований,легко травмований,легко травмований,null,null,null,null,49.82068,23.968949
2020-03-04,18:36:00,середа,місто,Львів,Сихівський,вулиця,Чукаріна В.,1,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.797801,24.043155
2020-02-14,7:25:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Липинського В.,58,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,3,без ушкоджень,без ушкоджень,помер на місці дтп,null,null,null,null,null,null,49.865221,24.0486
2020-03-03,16:01:00,вівторок,місто,Львів,Галицький,вулиця,Торгова,null,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.844279,24.025211
2020-02-24,19:15:00,понеділок,місто,Львів,Залізничний,вулиця,Головатого А.,4,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.827183,23.972833
2020-03-04,18:45:00,середа,місто,Львів,Сихівський,вулиця,Луганська,20,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,49.808275,24.042571
2020-03-21,17:30:00,субота,місто,Львів,Галицький,вулиця,Дорошенка П.,3,null,перекидання тз,порушення правил маневрування,1,легко травмований,null,,null,null,null,null,null,null,49.840176,24.027175
2020-03-07,19:01:00,субота,місто,Львів,Галицький,вулиця,Городоцька,65,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.841473,24.0168
2020-03-04,18:50:00,середа,місто,Львів,Сихівський,вулиця,Чукаріна В.,1,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.797791,24.043096
