accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,latitude,longitude
2020-01-14,14:39:00,вівторок,місто,Львів,Франківський,вулиця,Бойчука М.,null,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.812733,23.999408
2020-01-07,21:45:00,вівторок,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",121,null,наїзд на пішохода - пішохід рухався у попутному напрямку,неочікуваний вихід на проїзну частину,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.783335,24.059409
2020-02-03,11:30:00,понеділок,місто,Львів,Шевченківський,вулиця,Лук?яненка Л.,null,Перехрестя вул. Шеремети П. - вул. Замарстинівська,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.864632,24.025776
2020-02-03,7:25:00,понеділок,місто,Львів,Шевченківський,вулиця,Шевченка Т.,null,Перехрестя вул. Шевченка Т. - вул. Величковського І.,зіткнення бокове,порушення правил маневрування,5,легко травмований,без ушкоджень,легко травмований,легко травмований,легко травмований,null,null,null,null,49.872803,23.928545
2020-01-27,1:40:00,понеділок,місто,Львів,Шевченківський,вулиця,Липинського В.,null,Перехрестя вул. Липинського В. - вул. Промислова,зіткнення бокове,порушення правил маневрування,4,легко травмований,легко травмований,легко травмований,легко травмований,null,null,null,null,null,49.865224,24.044309
2020-02-07,11:33:00,п'ятниця,місто,Львів,Сихівський,вулиця,Зелена,null,Перехрестя вул. Зелена - вул. Луганська,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.806945,24.061561
2020-01-25,10:39:00,субота,місто,Львів,Залізничний,вулиця,Головатого А.,7,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.827678,23.97227
2020-01-15,17:50:00,середа,місто,Львів,Шевченківський,вулиця,Хмельницького Б.,225,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.863896,24.052307
2020-02-05,13:35:00,середа,місто,Львів,Галицький,вулиця,Братів Рогатинців,1,null,наїзд на інші види перешкод,порушення правил утримання автодоріг та вулиць,2,легко травмований,без ушкоджень,,null,null,null,null,null,null,49.839833,24.030758
2020-02-09,20:35:00,неділя,місто,Львів,Франківський,вулиця,Окружна,77,null,зіткнення бокове,недодержання дистанції,2,легко травмований,без ушкоджень,,null,null,null,null,null,null,49.825647,23.987789
2020-01-22,19:45:00,середа,місто,Львів,Личаківський,вулиця,Личаківська,33,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.840155,24.042882
2020-01-27,9:04:00,понеділок,місто,Львів,Галицький,вулиця,Куліша П.,5,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.845351,24.024079
2020-01-29,9:17:00,середа,місто,Львів,Галицький,вулиця,Волоська,null,null,наїзд на пішохода - пішохід рухався у попутному напрямку,виїзд на смугу зустрічного руху,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.829651,24.031563
2020-01-03,10:15:00,п'ятниця,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",8,null,падіння пасажира,порушення правил маневрування,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,49.812065,24.045736
2020-01-29,11:18:00,середа,місто,Львів,Франківський,вулиця,Княгині Ольги,5Б,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.812927,24.000642
2020-01-07,23:25:00,вівторок,місто,Львів,Франківський,вулиця,Героїв УПА,77,null,зіткнення бокове,порушення правил маневрування,2,легко травмований,без ушкоджень,,null,null,null,null,null,null,49.828429,23.990949
2020-01-08,23:50:00,середа,місто,Львів,Франківський,вулиця,Кульпарківська,78,null,зіткнення лобове,"невиконання вимог сигналів регулювання,порушення правил маневрування",3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,49.825387,23.989763
2020-01-11,18:05:00,субота,місто,Львів,Личаківський,вулиця,Личаківська,36,null,наїзд на пішохода - пішохід рухався у попутному напрямку,неочікуваний вихід на проїзну частину,2,без ушкоджень,тяжко травмований,,null,null,null,null,null,null,49.840712,24.04602
2020-01-11,20:30:00,субота,місто,Львів,Шевченківський,вулиця,Шевченка Т.,358,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,,null,null,null,null,null,null,49.868163,23.952046
2020-01-22,12:15:00,середа,місто,Львів,Франківський,вулиця,Княгині Ольги,102,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,легко травмований,легко травмований,,null,null,null,null,null,null,49.81265,23.999918
