accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,latitude,longitude
2021-02-07,12:15:00,неділя,місто,Львів,Галицький,вулиця,Франка І.,24,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.834799,24.034374
2021-02-11,14:01:00,четвер,місто,Львів,Франківський,вулиця,Володимира Великого,null,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,49.810781,23.995535
2021-02-17,22:29:00,середа,місто,Львів,Залізничний,вулиця,Яворницького Д.,null,null,зіткнення бокове,порушення правил проїзду перехресть,3,легко травмований,без ушкоджень,легко травмований,null,null,null,null,49.824058,23.977318
2021-01-30,21:45:00,субота,місто,Львів,Галицький,вулиця,Городоцька,83,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"перевищення безпечної швидкості,недодержання дистанції",2,без ушкоджень,легко травмований,null,null,null,null,null,49.839792,24.01444
2021-02-10,13:30:00,середа,місто,Львів,Сихівський,вулиця,Вернадського В.,26,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.78161,24.05574
2021-02-14,22:50:00,неділя,місто,Львів,Франківський,вулиця,Горбачевського І.,17,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,49.828782,24.009612
2021-02-17,19:41:00,середа,місто,Львів,Франківський,вулиця,Княгині Ольги,32,null,наїзд на пішохода,порушення правил проїзду пішохідних переходів,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.825384,24.008598
2021-02-01,21:45:00,понеділок,місто,Львів,Галицький,вулиця,Хотинська,null,вул. Городоцька - вул. Хотинська,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.837477,24.00502
2021-01-27,17:37:00,середа,місто,Львів,Личаківський,вулиця,Богданівська,11,null,зіткнення бокове,порушення правил маневрування,2,помер у лікарні протягом 30 діб,без ушкоджень,null,null,null,null,null,49.857187,24.073947
2021-02-07,13:44:00,неділя,місто,Львів,Залізничний,вулиця,Городоцька,321,null,зіткнення бокове,порушення правил проїзду перехресть,4,без ушкоджень,без ушкоджень,легко травмований,легко травмований,null,null,null,49.826439,23.947111
2021-02-15,8:40:00,понеділок,місто,Львів,Залізничний,вулиця,Суботівська,null,вул. Суботівська - вул. Широка,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.841747,23.967576
2021-02-21,7:54:00,неділя,місто,Львів,Личаківський,вулиця,Хмельницького Б.,214,null,зіткнення бокове,"перевищення безпечної швидкості,недодержання дистанції",4,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,null,null,null,49.869553,24.057001
2021-02-01,17:30:00,понеділок,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",43,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.85403,24.022642
2021-02-17,19:46:00,середа,місто,Львів,Сихівський,вулиця,Стрийська,75,null,зіткнення бокове,"перевищення безпечної швидкості,недодержання дистанції",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.791163,24.015722
2021-02-16,20:50:00,вівторок,місто,Львів,Личаківський,вулиця,Зелена,109,null,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.822221,24.054565
2021-01-30,7:05:00,субота,місто,Львів,Шевченківський,вулиця,Промислова,null,вул. Промислова - вул. Липинського В.,зіткнення бокове,"порушення правил маневрування,порушення правил проїзду перехресть",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.865224,24.04433
2021-02-03,19:01:00,середа,місто,Львів,Франківський,вулиця,Наукова,35,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.804435,23.992124
2021-02-08,0:05:00,понеділок,місто,Львів,Шевченківський,вулиця,"Мазепи І., гетьм.",1,null,зіткнення бокове,"керування транспортним засобом у нетверезому стані,перевищення безпечної швидкості,недодержання дистанції",3,легко травмований,без ушкоджень,без ушкоджень,null,null,null,null,49.832083,23.892404
2021-02-11,6:25:00,четвер,місто,Львів,Залізничний,вулиця,Городоцька,151,null,зіткнення з задньою частиною тз,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.836536,24.000428
2021-02-19,9:48:00,п'ятниця,місто,Львів,Личаківський,вулиця,Лисенка М.,26,null,зіткнення з задньою частиною тз,"порушення правил маневрування,перевищення безпечної швидкості,недодержання дистанції",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.841944,24.045489
2021-01-29,15:44:00,п'ятниця,місто,Львів,Франківський,вулиця,Кобилиці Л.,19,null,зіткнення бокове,"порушення правил маневрування,порушення правил проїзду перехресть",2,без ушкоджень,легко травмований,null,null,null,null,null,49.816873,23.998169
2021-02-20,23:04:00,субота,місто,Львів,Залізничний,вулиця,Садова,null,Перехрестя вул. Садова,зіткнення бокове,"порушення правил маневрування,порушення правил проїзду перехресть,невиконання вимог сигналів регулювання",3,легко травмований,без ушкоджень,легко травмований,null,null,null,null,49.82147,23.988605
2021-02-12,16:10:00,п'ятниця,місто,Львів,Залізничний,вулиця,Городоцька,112,null,наїзд на пішохода,"перевищення безпечної швидкості,порушення правил проїзду пішохідних переходів",2,без ушкоджень,легко травмований,null,null,null,null,null,49.836228,23.998448
2021-04-02,22:10:00,п'ятниця,місто,Львів,Сихівський,вулиця,Гориня М.,9,null,"наїзд на транспортний засіб, що стоїть - по ходу руху","перевищення безпечної швидкості,керування транспортним засобом у нетверезому стані",1,легко травмований,null,null,null,null,null,null,49.78923,24.05554
2021-04-09,12:37:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Липинського В.,54,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.864432,24.041508
2021-04-12,15:30:00,понеділок,місто,Львів,Франківський,вулиця,"Сахарова А., акад.",42,null,зіткнення з задньою частиною тз,"перевищення безпечної швидкості,недодержання дистанції",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.829035,24.012927
2021-04-13,1:27:00,вівторок,місто,Львів,Шевченківський,вулиця,Порічкова,15,null,наїзд на інші види перешкод,перевищення безпечної швидкості,1,помер у лікарні протягом 30 діб,null,null,null,null,null,null,49.867717,23.961005
2021-03-31,16:01:00,середа,місто,Львів,Личаківський,вулиця,Личаківська,42,null,наїзд на велосипедиста - поза межами велосипедної доріжки,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.798706,24.071113
2021-03-28,9:50:00,неділя,місто,Львів,Галицький,проспект,"Чорновола В., просп.",14,null,наїзд на інші види перешкод,"недодержання дистанції,перевищення безпечної швидкості",4,без ушкоджень,без ушкоджень,легко травмований,легко травмований,null,null,null,49.847015,24.025662
2021-04-07,17:50:00,середа,місто,Львів,Залізничний,вулиця,Кульпрківська,118,null,падіння пасажира,порушення правил перевезення пасажирів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.819386,23.987896
2021-03-30,17:22:00,вівторок,місто,Львів,Сихівський,вулиця,Чмоли І.,2,null,зіткнення бокове,"перевищення безпечної швидкості,недодержання дистанції",3,легко травмований,легко травмований,без ушкоджень,null,null,null,null,49.814859,24.024015
2021-04-29,11:25:00,четвер,місто,Львів,Залізничний,вулиця,Білогорща,34,null,наїзд на інші види перешкод,"керування транспортним засобом у нетверезому стані,порушення правил маневрування",2,легко травмований,без ушкоджень,null,null,null,null,null,49.844441,23.947915
2021-04-22,7:35:00,четвер,місто,Львів,Шевченківський,вулиця,Грінченка Б.,null,null,наїзд на велосипедиста - поза межами велосипедної доріжки,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,49.795356,24.054246
2021-04-26,18:50:00,понеділок,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",45,null,наїзд на велосипедиста - поза межами велосипедної доріжки,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,49.852518,24.023629
2021-04-16,6:01:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Липинського В.,11,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,помер у лікарні протягом 30 діб,null,null,null,null,null,49.856765,24.022079
2021-04-08,14:43:00,четвер,місто,Львів,Галицький,вулиця,Ковжуна П.,null,Перехрестяв вул. Ковжуна П. - вул. Чайковського П.,зіткнення бокове,порушення правил проїзду перехресть,2,легко травмований,легко травмований,null,null,null,null,null,49.83756,24.029793
2021-04-08,17:20:00,четвер,місто,Львів,Галицький,вулиця,Стуса В.,7,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,помер на місці дтп,null,null,null,null,null,49.823266,24.038313
2021-04-27,19:30:00,вівторок,місто,Львів,Залізничний,вулиця,Кульчицької О.,4,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,неочікуваний вихід на проїзну частину,2,без ушкоджень,легко травмований,null,null,null,null,null,49.817493,23.973268
2021-04-11,19:18:00,неділя,місто,Львів,Галицький,проспект,"Свободи, просп.",null,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.842134,24.026842
2021-04-28,18:45:00,середа,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",7,null,наїзд на інші види перешкод,порушення правил маневрування,1,тяжко травмований,null,null,null,null,null,null,49.859722,24.019831
2021-04-28,14:05:00,середа,місто,Львів,Шевченківський,вулиця,Городоцька,32,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.842791,24.017165
2021-04-01,15:20:00,четвер,місто,Львів,Залізничний,вулиця,Виговського І.,89,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,легко травмований,без ушкоджень,null,null,null,null,null,49.812726,23.98213
2021-04-01,0:55:00,четвер,місто,Львів,Сихівський,вулиця,Хуторівка,4Б,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,49.799695,24.02689
2021-04-20,18:30:00,вівторок,місто,Львів,Галицький,вулиця,Під Дубом,7Б,null,наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці,перевищення безпечної швидкості,3,без ушкоджень,без ушкоджень,тяжко травмований,null,null,null,null,49.850481,24.022899
2021-04-07,23:05:00,середа,місто,Львів,Франківський,вулиця,Княгині Ольги,100,null,наїзд на пішохода - пішохід рухався у попутному напрямку,пішоходи невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,null,null,null,null,null,49.816908,24.002643
2021-04-08,19:10:00,четвер,місто,Львів,Личаківський,вулиця,Личаківська,null,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.840425,24.044019
2021-04-16,18:30:00,п'ятниця,місто,Львів,Галицький,вулиця,Франка І.,35,null,падіння пасажира,порушення техніки безпеки пасажиром,2,без ушкоджень,легко травмований,null,null,null,null,null,49.842957,24.034927
2021-04-06,10:01:00,вівторок,місто,Львів,Галицький,вулиця,Городоцька,64,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,порушення правил маневрування,4,без ушкоджень,без ушкоджень,легко травмований,без ушкоджень,null,null,null,49.839263,24.009697
2021-04-21,0:05:00,середа,місто,Львів,Залізничний,вулиця,Городоцька,174,null,зіткнення з задньою частиною тз,"перевищення безпечної швидкості,недодержання дистанції,керування транспортним засобом у нетверезому стані",3,без ушкоджень,легко травмований,без ушкоджень,null,null,null,null,49.830681,23.966584
2021-04-29,22:47:00,четвер,місто,Львів,Сихівський,вулиця,"Червоної Калини, просп.",59,null,зіткнення бокове,невиконання вимог сигналів регулювання,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.8372,24.0243
2021-04-02,21:30:00,п'ятниця,місто,Львів,Франківський,вулиця,Княгині Ольги,102,null,наїзд на пішохода - на регульованому пішохідному переході,порушення правил проїзду пішохідних переходів,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,49.825152,24.008356
2021-04-16,20:32:00,п'ятниця,місто,Львів,Франківський,вулиця,Кульпарківська,93,null,зіткнення бокове,порушення правил проїзду перехресть,2,легко травмований,без ушкоджень,null,null,null,null,null,49.822999,23.989141
2021-04-17,12:25:00,субота,місто,Львів,Франківський,вулиця,Наукова,51,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,неочікуваний вихід на проїзну частину,2,без ушкоджень,тяжко травмований,null,null,null,null,null,49.804819,23.987435
2021-04-28,18:01:00,середа,місто,Львів,Франківський,вулиця,Боткіна С.,73,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.813169,23.991796
2021-04-02,19:37:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Хмельницького Б.,291,null,зіткнення бокове,перевищення безпечної швидкості,3,легко травмований,без ушкоджень,легко травмований,null,null,null,null,49.878404,24.064259
2021-04-14,11:55:00,середа,місто,Львів,Личаківський,вулиця,Пасічна,43,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.830132,24.069854
2021-04-28,22:20:00,середа,місто,Львів,Франківський,вулиця,Княгині Ольги,25,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,неочікуваний вихід на проїзну частину,2,без ушкоджень,легко травмований,null,null,null,null,null,49.816837,24.002953
2021-04-22,22:45:00,четвер,місто,Львів,Залізничний,вулиця,Кульпарківська,139,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.815419,23.984839
2021-04-27,17:01:00,вівторок,місто,Львів,Залізничний,вулиця,Щирецька,36,null,зіткнення бокове,"перевищення безпечної швидкості,порушення правил проїзду перехресть,невиконання вимог сигналів регулювання",2,без ушкоджень,легко травмований,null,null,null,null,null,49.809985,23.974357
2021-04-20,20:01:00,вівторок,місто,Львів,Франківський,вулиця,Пулюя І.,23,null,наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.80108,23.990375
2021-04-01,19:50:00,четвер,місто,Львів,Галицький,площа,"Святого Юра, пл.",1,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,"порушення правил проїзду пішохідних переходів,порушення правил маневрування,перевищення безпечної швидкості",2,без ушкоджень,легко травмований,null,null,null,null,null,49.836519,24.013211
2021-06-05,9:45:00,субота,місто,Львів,Шевченківський,вулиця,Шевченка Т.,186,null,зіткнення бокове,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,49.85605,23.981057
2021-06-02,19:30:00,середа,місто,Львів,Личаківський,вулиця,Заньковецької М.,null,вул. Заньковецької М. - вул. Личаківська,зіткнення бокове,порушення правил проїзду пішохідних переходів,2,легко травмований,легко травмований,null,null,null,null,null,49.840723,24.04646
2021-06-07,19:15:00,понеділок,місто,Львів,Личаківський,вулиця,Пасічна,63,null,наїзд на пішохода,порушення правил маневрування,2,легко травмований,без ушкоджень,null,null,null,null,null,49.824913,24.075004
2021-06-15,21:01:00,вівторок,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",66,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.790685,24.057409
2021-06-18,19:12:00,п'ятниця,місто,Львів,Залізничний,вулиця,Щирецька,36,null,наїзд на пішохода - на регульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.809874,23.975934
2021-06-04,15:24:00,п'ятниця,місто,Львів,Сихівський,вулиця,Зелена,238,null,зіткнення бокове,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,49.806786,24.060702
2021-05-31,22:45:00,понеділок,місто,Львів,Галицький,вулиця,Торгова,null,"вул. Торгова - Свободи, просп. - Різні, пл.",зіткнення бокове,"керування транспортним засобом у нетверезому стані,невиконання вимог сигналів регулювання",3,легко травмований,без ушкоджень,без ушкоджень,null,null,null,null,49.844158,24.024659
2021-06-23,11:30:00,середа,місто,Львів,Галицький,вулиця,Дорошенка П.,22,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.83909,24.025185
2021-06-04,17:38:00,п'ятниця,місто,Львів,Личаківський,вулиця,Яворницького Д.,8А,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,49.815146,24.149601
2021-06-13,16:20:00,неділя,місто,Львів,Галицький,вулиця,Франка І.,88,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.82893736,24.03231912
2021-06-10,13:45:00,четвер,місто,Львів,Галицький,вулиця,Шевченка Т.,null,null,наїзд на інші види перешкод,"перевищення безпечної швидкості,керування транспортним засобом у нетверезому стані",2,легко травмований,без ушкоджень,null,null,null,null,null,49.842413,24.027621
2021-06-10,16:40:00,четвер,місто,Львів,Залізничний,вулиця,Городоцька,274,null,зіткнення з задньою частиною тз,недодержання дистанції,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.82419,23.93289
2021-06-25,11:40:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Варшавська,69,null,зіткнення з задньою частиною тз,"недодержання дистанції,перевищення безпечної швидкості",2,легко травмований,без ушкоджень,null,null,null,null,null,49.860635,24.008297
2021-05-30,22:25:00,неділя,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",76А,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,тяжко травмований,null,null,null,null,null,49.788603,24.058224
2021-06-20,12:39:00,неділя,місто,Львів,Залізничний,вулиця,Городоцька,214,null,зіткнення бокове,порушення правил проїзду перехресть,4,легко травмований,легко травмований,легко травмований,легко травмований,null,null,null,49.829498,23.960082
2021-06-02,11:45:00,середа,місто,Львів,Франківський,вулиця,Княгині Ольги,19,null,наїзд на пішохода - пішохід рухався у попутному напрямку,пішоходи невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,null,null,null,null,null,49.817327,24.003523
2021-06-03,10:35:00,четвер,місто,Львів,Сихівський,вулиця,Навроцького В.,null,"вул. Навроцького В. - Червоної Калини, просп.",зіткнення бокове,порушення правил проїзду перехресть,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.81175,24.046047
2021-06-06,15:10:00,неділя,місто,Львів,Залізничний,вулиця,Любінська,null,вул. Любінська - вул. Петлюри С.,зіткнення бокове,порушення правил проїзду перехресть,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.823871,23.977447
2021-06-17,4:10:00,четвер,місто,Львів,Галицький,площа,"Князя Ярослава Осмомисла, пл.",null,"Перехрестя вул. Князя Ярослава,  Осмомисла, пл. - вул. Хмельницького Б.",зіткнення бокове,порушення правил проїзду перехресть,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.844571,24.029699
2021-06-16,10:15:00,середа,місто,Львів,Шевченківський,вулиця,Хмельницького Б.,113,null,зіткнення бокове,порушення правил проїзду перехресть,2,легко травмований,легко травмований,null,null,null,null,null,49.853335,24.036557
2021-06-11,0:05:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Липинського В.,28,null,зіткнення бокове,перевищення безпечної швидкості,4,легко травмований,без ушкоджень,легко травмований,легко травмований,null,null,null,49.862063,24.029117
2021-06-25,22:17:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Грінченка Б.,null,null,зіткнення бокове,"порушення правил маневрування,перевищення безпечної швидкості",1,легко травмований,null,null,null,null,null,null,49.870673,24.057902
2021-06-20,23:34:00,неділя,місто,Львів,Галицький,вулиця,Торгова,null,"вул. Торгова - Різні, пл.",зіткнення бокове,порушення правил надання безперешкодного проїзду,6,без ушкоджень,легко травмований,легко травмований,легко травмований,легко травмований,легко травмований,null,49.844206,24.024648
2021-06-17,14:35:00,четвер,місто,Львів,Залізничний,вулиця,Городоцька,319,null,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,легко травмований,без ушкоджень,null,null,null,null,49.827239,23.949831
2021-06-03,22:30:00,четвер,місто,Львів,Залізничний,вулиця,Широка,null,null,наїзд на пішохода - стояв на проїздній частині,неочікуваний вихід на проїзну частину,2,без ушкоджень,легко травмований,null,null,null,null,null,49.841843,23.967769
2021-06-24,17:30:00,четвер,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",49,null,зіткнення бокове,"перевищення безпечної швидкості,недодержання дистанції",4,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,null,null,null,49.799134,24.049453
2021-06-13,12:41:00,неділя,місто,Львів,Франківський,вулиця,Городоцька,169,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,помер на місці дтп,null,null,null,null,null,49.835716,23.99693
2021-05-10,18:10:00,понеділок,місто,Львів,Галицький,проспект,"Свободи, просп.",null,null,наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.843656,24.026434
2021-06-06,18:26:00,неділя,місто,Львів,Галицький,вулиця,Героїв Майдану,null,вул. Героїв Майдану - вул. Стрийська,перекидання тз,перевищення безпечної швидкості,1,легко травмований,null,null,null,null,null,null,49.824927,24.020888
2021-06-03,18:47:00,четвер,місто,Львів,Залізничний,вулиця,Городоцька,276,null,зіткнення бокове,невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,null,null,null,null,null,49.824532,23.932112
2021-06-10,14:10:00,четвер,місто,Львів,Галицький,вулиця,700-Річчя Львова,2,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"перевищення безпечної швидкості,недодержання дистанції",2,без ушкоджень,легко травмований,null,null,null,null,null,49.850146,24.024922
2021-06-08,8:02:00,вівторок,місто,Львів,Галицький,вулиця,Зелена,109,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.823515,24.052264
2021-06-22,14:41:00,вівторок,місто,Львів,Франківський,вулиця,Володимира Великого,61,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.810421,23.995836
2021-06-19,17:41:00,субота,місто,Львів,Сихівський,вулиця,Угорська,12,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.810518,24.045226
2021-06-04,4:01:00,п'ятниця,місто,Львів,Галицький,вулиця,Кривоноса М.,5,null,наїзд на інші види перешкод,"перевищення безпечної швидкості,керування транспортним засобом у нетверезому стані",4,легко травмований,легко травмований,легко травмований,легко травмований,null,null,null,49.844936,24.038547
2021-06-11,18:30:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Плужника Є.,3,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,49.864728,24.009466
2021-06-10,16:18:00,четвер,місто,Львів,Галицький,площа,"Міцкевича А., пл.",1,null,наїзд на інші види перешкод,порушення правил утримання автодоріг та вулиць,4,легко травмований,легко травмований,без ушкоджень,без ушкоджень,null,null,null,49.839602,24.030018
2021-06-19,6:44:00,субота,місто,Львів,Личаківський,вулиця,Польова,55,null,зіткнення бокове,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,49.8600860,24.0622887
2021-06-07,6:17:00,понеділок,місто,Львів,Залізничний,вулиця,Левандівська,25,null,наїзд на інші види перешкод,управління несправним транспортним засобом,7,легко травмований,без ушкоджень,легко травмований,легко травмований,легко травмований,легко травмований,легко травмований,49.842667,23.979662
2021-06-03,8:14:00,четвер,місто,Львів,Франківський,вулиця,Городоцька,233,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.831692,23.975687
2021-06-27,22:43:00,неділя,місто,Львів,Франківський,вулиця,Пасічна,8,null,перекидання тз,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,49.822639,24.013032
2021-06-15,23:10:00,вівторок,місто,Львів,Франківський,вулиця,Пулюя І.,40,null,"наїзд на транспортний засіб, що стоїть - по ходу руху",порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.800208,23.988071
2021-06-27,15:20:00,неділя,місто,Львів,Галицький,площа,"Галицька, пл.",null,null,падіння пасажира,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,49.839268,24.03258
2021-06-16,18:03:00,середа,місто,Львів,Личаківський,вулиця,Глинянський Тракт,23,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,49.837041,24.073845
2021-06-14,18:01:00,понеділок,місто,Львів,Франківський,вулиця,Княгині Ольги,5А,null,зіткнення з задньою частиною тз,недодержання дистанції,3,легко травмований,без ушкоджень,без ушкоджень,null,null,null,null,49.813426,24.000589
2021-06-05,18:06:00,субота,місто,Львів,Залізничний,вулиця,Кульпарківська,232,null,наїзд на інші види перешкод,недодержання дистанції,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.803151,23.980778
2021-06-23,16:01:00,середа,місто,Львів,Франківський,вулиця,Любінська,null,Перехрестя вул. Любінська - вул. Копистинського Т.,зіткнення з задньою частиною тз,порушення правил проїзду перехресть,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.829021,23.987258
2021-06-25,18:10:00,п'ятниця,місто,Львів,Личаківський,вулиця,Богданівська,1,null,зіткнення бокове,"перевищення безпечної швидкості,порушення правил маневрування",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.84595,24.084629
2021-06-25,8:25:00,п'ятниця,місто,Львів,Личаківський,вулиця,Пластова,7,null,зіткнення бокове,порушення правил маневрування,2,легко травмований,без ушкоджень,null,null,null,null,null,49.862776,24.067563
