accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,latitude,longitude
2021-08-23,20:55:00,понеділок,місто,Львів,Шевченківський,вулиця,Шевченка Т.,132А,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.851187,23.991485
2021-09-06,3:40:00,понеділок,місто,Львів,Шевченківський,вулиця,Липинського В.,12,null,зіткнення бокове,"порушення правил надання безперешкодного проїзду,керування транспортним засобом у нетверезому стані",4,без ушкоджень,легко травмований,легко травмований,легко травмований,null,null,null,49.856838,24.02357
2021-10-15,19:05:00,п'ятниця,місто,Львів,Франківський,вулиця,Сімовича В.,10,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,49.82317888,24.00159542
2021-10-25,12:40:00,понеділок,місто,Львів,Залізничний,вулиця,Виговського І.,83,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.812768,23.981164
2021-10-26,12:45:00,вівторок,місто,Львів,Залізничний,вулиця,Широка,85,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.84121,23.96381
2021-10-18,21:36:00,понеділок,місто,Львів,Франківський,вулиця,Коновальця Є.,83,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.828405,24.00002
2021-10-30,10:15:00,субота,місто,Львів,Шевченківський,вулиця,Липинського В.,null,вул. Липинського В. - вул. Замарстинівська,зіткнення бокове,"невиконання вимог сигналів регулювання,порушення правил проїзду перехресть",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.861835,24.029374
2021-11-04,14:40:00,четвер,місто,Львів,Шевченківський,вулиця,Шевченка Т.,111,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"порушення правил проїзду пішохідних переходів,керування транспортним засобом у нетверезому стані",2,без ушкоджень,помер на місці дтп,null,null,null,null,null,49.850893,23.99207
2021-11-05,19:47:00,п'ятниця,місто,Львів,Галицький,вулиця,Словацького Ю.,null,вул. Словацького Ю. - вул. Дорошенка П.,наїзд на пішохода - пішохід рухався у попутному напрямку,"перевищення безпечної швидкості,порушення правил маневрування",2,без ушкоджень,легко травмований,null,null,null,null,null,49.838135,24.023473
2021-10-11,13:30:00,понеділок,місто,Львів,Залізничний,вулиця,Білогорща,130,null,падіння пасажира,порушення техніки безпеки пасажиром,2,без ушкоджень,легко травмований,null,null,null,null,null,49.844168,23.949337
2021-10-24,0:43:00,неділя,місто,Львів,Сихівський,вулиця,Антонича Б. - І.,2,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,тяжко травмований,null,null,null,null,null,49.787776,24.068132
2021-11-02,13:35:00,вівторок,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",47,null,наїзд на інші види перешкод,"перевищення безпечної швидкості,недодержання дистанції",1,легко травмований,null,null,null,null,null,null,49.855603,24.022057
2021-10-19,15:40:00,вівторок,місто,Львів,Сихівський,вулиця,Трильовського К.,14,null,зіткнення бокове,порушення правил проїзду перехресть,2,легко травмований,без ушкоджень,null,null,null,null,null,49.783975,24.064334
2021-10-28,16:39:00,четвер,місто,Львів,Личаківський,вулиця,Пасічна,51,null,наїзд на пішохода,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.827813,24.071222
2021-10-21,16:35:00,четвер,місто,Львів,Шевченківський,вулиця,Шевченка Т.,358,null,зіткнення бокове,порушення правил проїзду перехресть,2,легко травмований,без ушкоджень,null,null,null,null,null,49.868526,23.952373
2021-11-01,17:05:00,понеділок,місто,Львів,Залізничний,вулиця,Яворницького Д.,11,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,49.826996,23.973729
2021-11-01,20:25:00,понеділок,місто,Львів,Франківський,вулиця,Наукова,null,вул. Стрийська - вул. Наукова,наїзд на пішохода - пішохід рухався у попутному напрямку,пішоходи невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,null,null,null,null,null,49.801932,24.017959
2021-10-29,10:45:00,п'ятниця,місто,Львів,Франківський,вулиця,Наукова,96,null,наїзд на пішохода - на нерегульованому пішохідному переході,перевищення безпечної швидкості,2,без ушкоджень,помер у лікарні протягом 30 діб,null,null,null,null,null,49.805121,23.987398
2021-10-15,21:10:00,п'ятниця,місто,Львів,Залізничний,вулиця,Городоцька,302,null,зіткнення бокове,недодержання дистанції,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.8241,23.914511
2021-11-02,11:05:00,вівторок,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",55,null,зіткнення бокове,перевищення безпечної швидкості,3,без ушкоджень,легко травмований,без ушкоджень,null,null,null,null,49.85522,24.0196
2021-10-17,15:50:00,неділя,місто,Львів,Франківський,вулиця,Володимира Великого,99,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.809362,23.990327
2021-10-23,13:54:00,субота,місто,Львів,Личаківський,вулиця,Липова Алея,null,null,падіння пасажира,"порушення техніки безпеки пасажиром,порушення правил маневрування",2,без ушкоджень,легко травмований,null,null,null,null,null,49.8224082,24.0544042
2021-10-18,17:54:00,понеділок,місто,Львів,Сихівський,вулиця,Дністерcька,null,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.816139,24.048488
2021-10-27,14:20:00,середа,місто,Львів,Шевченківський,вулиця,Хмельницького Б.,195,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,49.857727,24.046744
2021-10-29,22:55:00,п'ятниця,місто,Львів,Залізничний,вулиця,Скнилівська,57,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,49.813152,23.974523
2021-10-29,13:40:00,п'ятниця,місто,Львів,Сихівський,вулиця,Тернопільська,34,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.813955,24.037056
2021-10-19,16:18:00,вівторок,місто,Львів,Франківський,вулиця,"Єфремова С., акад.",32,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.832329,24.007401
2021-10-22,16:40:00,п'ятниця,місто,Львів,Личаківський,вулиця,Личаківська,223,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,49.835834,24.074988
2021-11-02,17:01:00,вівторок,місто,Львів,Шевченківський,вулиця,Хмельницького Б.,296,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"пішоходи невиконання вимог сигналів регулювання,неочікуваний вихід на проїзну частину",2,без ушкоджень,помер у лікарні протягом 30 діб,null,null,null,null,null,49.873847,24.060772
2021-10-23,9:16:00,субота,місто,Львів,Личаківський,вулиця,Вашингтона Дж.,11,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.815769,24.071962
2021-11-06,14:15:00,субота,місто,Львів,Шевченківський,вулиця,Липинського В.,11,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.857551,24.02313
2021-10-28,8:01:00,четвер,місто,Львів,Шевченківський,вулиця,Грінченка Б.,13,null,наїзд на пішохода,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.872125,24.051894
2021-10-19,11:01:00,вівторок,місто,Львів,Сихівський,вулиця,Мікльоша К.,null,вул. Стрийська - вул. Мікльоша К.,зіткнення бокове,порушення правил маневрування,2,легко травмований,без ушкоджень,null,null,null,null,null,49.783716,24.014225
2021-10-19,19:39:00,вівторок,місто,Львів,Шевченківський,вулиця,Нагірна,4,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,49.8783,24.062247
2021-10-22,19:01:00,п'ятниця,місто,Львів,Франківський,вулиця,Наукова,null,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.804452,23.992252
2021-10-27,13:20:00,середа,місто,Львів,Галицький,проспект,"Чорновола В., просп.",7,null,падіння пасажира,порушення техніки безпеки пасажиром,2,без ушкоджень,легко травмований,null,null,null,null,null,49.846261,24.024943
2021-10-28,22:19:00,четвер,місто,Львів,Галицький,проспект,"Свободи, просп.",3,null,наїзд на пішохода,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,48.8871,23.29299
2021-10-20,20:46:00,середа,місто,Львів,Галицький,вулиця,Стуса В.,39,null,зіткнення бокове,перевищення безпечної швидкості,2,легко травмований,легко травмований,null,null,null,null,null,49.819213,24.042007
2021-10-26,16:38:00,вівторок,місто,Львів,Галицький,вулиця,Шевченка Т.,30,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.835938,24.032292
2021-10-08,10:27:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Брюховицька,175,null,зіткнення бокове,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,49.873218,23.954331
2021-10-08,18:01:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Окуневського Т.,3,null,наїзд на пішохода - стояв на проїздній частині,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,49.85828,24.018688
2021-12-22,18:45:00,середа,місто,Львів,Сихівський,вулиця,Хуторівка,4Б,null,зіткнення бокове,"перевищення безпечної швидкості,недодержання дистанції",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.799574,24.026923
2021-12-22,14:01:00,середа,місто,Львів,Сихівський,вулиця,Навроцького В.,23,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.811324,24.052817
2021-12-25,22:10:00,субота,місто,Львів,Франківський,вулиця,Наукова,29,null,наїзд на інші види перешкод,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.804375,23.993127
2021-12-11,12:30:00,субота,місто,Львів,Сихівський,вулиця,Трильовського К.,null,вул. Трильовського К. - вул. Антонича Б.-І.,зіткнення бокове,порушення правил проїзду перехресть,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.785919,24.06921
2021-12-19,17:50:00,неділя,місто,Львів,Личаківський,вулиця,Мечникова І.,null,вул. Мечникова І. - вул. Личаківська,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.838398,24.055102
2021-12-11,13:30:00,субота,місто,Львів,Личаківський,вулиця,Франка І.,35,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.833931,24.034207
