accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,injuryStatusParticipant10,injuryStatusParticipant11,latitude,longitude
2022-08-03,17:55:00,середа,місто,Львів,Сихівський,вулиця,Зелена,214,null,наїзд на пішохода - пішохід рухався у попутному напрямку,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.807468,24.061571
2022-08-30,9:27:00,вівторок,місто,Львів,Галицький,площа,"Данила Галицького, пл.",2,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"неочікуваний вихід на проїзну частину, перехід у невстановленому місці",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.844462,24.032255
2022-07-30,13:03:00,субота,місто,Львів,Личаківський,вулиця,Хмельницького Б.,null,міст,зіткнення бокове,порушення правил маневрування,3,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,null,null,49.87411,24.061003
2022-11-16,10:44:00,середа,місто,Львів,Галицький,площа,"Кропивницького М., пл.",2,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.83721,24.005423
2022-11-17,17:11:00,четвер,місто,Львів,Залізничний,вулиця,"Курмановича В., ген.",9,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.830481,23.952159
2022-10-25,12:20:00,вівторок,місто,Львів,Галицький,вулиця,Вітовського Д.,41,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.830173,24.023886
2022-10-26,19:01:00,середа,місто,Львів,Залізничний,вулиця,Любінська,102,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.82177,23.972095
2022-11-11,17:08:00,п'ятниця,місто,Львів,Залізничний,вулиця,Сяйво,18,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.844874,23.980408
2022-11-16,23:45:00,середа,місто,Львів,Сихівський,вулиця,Зелена,149,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.81175,24.060965
2022-11-04,12:55:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Замарстинівська,174,null,зіткнення,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.870941,24.019046
2022-11-29,13:01:00,вівторок,місто,Львів,Сихівський,проспект,"Святого Івана Павла ІІ, просп.",4б,null,наїзд на пішохода - пішохід рухався у попутному напрямку,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.799148,24.034503
2022-11-07,11:28:00,понеділок,місто,Львів,Галицький,площа,"Міцкевича А., пл.",8,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"перевищення безпечної швидкості, недодержання дистанції",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.839423,24.030402
2022-11-28,19:35:00,понеділок,місто,Львів,Личаківський,вулиця,Глинянський Тракт,11,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,помер у лікарні протягом 30 діб,null,null,null,null,null,null,null,null,null,49.836643,24.072011
2022-10-24,15:30:00,понеділок,місто,Львів,Галицький,вулиця,Гавришкевича С.,8,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.844268,24.030456
2022-11-16,19:39:00,середа,місто,Львів,Шевченківський,вулиця,Варшавська,2,null,наїзд на пішохода - на нерегульованому пішохідному переході,"невиконання вимог сигналів регулювання, порушення правил проїзду пішохідних переходів",2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.855112,24.014397
2022-11-11,6:55:00,п'ятниця,місто,Львів,Личаківський,вулиця,Пластова,7,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.862862,24.067896
2022-11-09,15:29:00,середа,місто,Львів,Галицький,вулиця,Гуцульська,21,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.844667,24.038697
2022-10-22,22:16:00,субота,місто,Львів,Сихівський,вулиця,Сихівська,null,вул. Сихівська - вул. Кавалерідзе І.,зіткнення бокове,порушення правил маневрування,5,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,49.794532,24.064125
2022-11-11,12:39:00,п'ятниця,місто,Львів,Сихівський,вулиця,Сихівська,16а,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.795187,24.064264
2022-11-11,23:49:00,п'ятниця,місто,Львів,Сихівський,вулиця,Стрийська,47,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.801277,24.017991
2022-11-18,8:30:00,п'ятниця,місто,Львів,Личаківський,вулиця,Тершаковців,6а,null,наїзд на пішохода - на регульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.835256,24.04065
2022-11-09,19:30:00,середа,місто,Львів,Личаківський,вулиця,Личаківська,17,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,помер на місці дтп,null,null,null,null,null,null,null,null,null,49.839861,24.040001
2022-10-22,21:48:00,субота,місто,Львів,Шевченківський,вулиця,"Мазепи І., гетьм.",22,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.871717,24.039148
2022-11-12,23:15:00,субота,місто,Львів,Галицький,вулиця,Вітовського Д.,43а,null,наїзд на дерево,недодержання дистанції,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.831256,24.019611
2022-11-22,6:30:00,вівторок,місто,Львів,Франківський,вулиця,Княгині Ольги,116,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.805128,23.998057
2022-11-24,18:03:00,четвер,місто,Львів,Галицький,вулиця,Руставелі Ш.,40,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.829931,24.032711
2022-11-02,19:29:00,середа,місто,Львів,Залізничний,вулиця,Городоцька,284,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,3,без ушкоджень,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,49.822591,23.924274
2022-11-26,17:29:00,субота,місто,Львів,Сихівський,вулиця,Угорська,1,null,зіткнення бокове,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.813194,24.037555
2022-11-17,7:57:00,четвер,місто,Львів,Франківський,вулиця,Героїв Майдану,null,вул. Героїв Майдану - вул. Вітовського Д.,наїзд на пішохода - на регульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.832204,24.018431
2022-11-11,13:10:00,п'ятниця,місто,Львів,Галицький,вулиця,Бандери С.,1,null,наїзд на інші види перешкод,"керування транспортним засобом у нетверезому стані, перевищення безпечної швидкості",1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.834682,24.019053
