accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,injuryStatusParticipant10,injuryStatusParticipant11,latitude,longitude
2022-01-07,22:05:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Винниця,2б,null,зіткнення бокове,порушення правил маневрування,5,без ушкоджень,без ушкоджень,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,49.861673,24.000739
2022-01-03,17:08:00,понеділок,місто,Львів,Личаківський,вулиця,Богданівська,11,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.857288,24.07215
2022-01-04,18:10:00,вівторок,місто,Львів,Франківський,вулиця,Кондукторська,null,вул. Городоцька - вул. Кондукторська,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.83264,23.979807
2022-01-16,3:01:00,неділя,місто,Львів,Личаківський,вулиця,Личаківська,232,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.831844,24.091934
2022-01-12,10:31:00,середа,місто,Львів,Шевченківський,вулиця,Панча П.,26,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.862146,24.008222
2022-01-16,15:01:00,неділя,місто,Львів,Залізничний,площа,"Двірцева, пл.",1,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.839733,23.994505
2022-01-12,17:15:00,середа,село,Рясне-Руське,Залізничний,null,null,null,null,зіткнення бокове,виїзд на смугу зустрічного руху,2,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,49.8773634,23.8896281
2022-01-09,17:15:00,неділя,місто,Львів,Галицький,вулиця,Козельницька,2,null,наїзд на інші види перешкод,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.817898,24.02445
2022-01-01,19:41:00,субота,місто,Львів,Сихівський,вулиця,Дністерcька,4,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.818303,24.05684
2022-01-03,21:01:00,понеділок,місто,Львів,Шевченківський,вулиця,Опришківська,null,вул. Опришківська - вул. Хмельницького Б.,зіткнення бокове,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.85366,24.041101
2022-01-17,7:34:00,понеділок,місто,Львів,Галицький,вулиця,Шептицьких,null,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.836695,24.006194
2022-01-19,16:23:00,середа,місто,Львів,Личаківський,вулиця,Руставелі Ш.,4,null,падіння пасажира,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.833893,24.035391
2022-01-19,19:05:00,середа,місто,Львів,Галицький,вулиця,Листопадового Чину,14,null,"наїзд на транспортний засіб, що стоїть - по ходу руху",недодержання дистанції,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.840145,24.020013
2022-01-14,14:05:00,п'ятниця,місто,Львів,Франківський,вулиця,Володимира Великого,null,вул. Володимира Великого - вул. Янева В.,зіткнення бокове,порушення правил проїзду перехресть,4,легко травмований,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,null,49.808968,24.011826
2022-01-07,21:20:00,п'ятниця,місто,Львів,Франківський,вулиця,Княгині Ольги,5а,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.822376,24.007627
2022-01-01,7:47:00,субота,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",93,null,зіткнення бокове,"перевищення безпечної швидкості, недодержання дистанції, керування транспортним засобом у нетверезому стані",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.862613,24.018323
2022-01-05,17:30:00,середа,місто,Львів,Шевченківський,вулиця,Городницька,null,вул. Городницька - вул. Липинського В.,зіткнення бокове,порушення правил маневрування,4,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,49.865314,24.045575
2022-01-04,17:20:00,вівторок,місто,Львів,Шевченківський,вулиця,Лушпинського О.,null,вул. Лушпинського О. - вул. Шевченка Т.,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.86661080,23.95627502
2022-01-17,19:30:00,понеділок,місто,Львів,Франківський,вулиця,Трускавецька,2б,null,зіткнення бокове,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.798191,24.010373
2022-01-15,18:38:00,субота,місто,Львів,Залізничний,вулиця,Левандівська,null,вул. Левандівська - вул. Шевченка Т.,наїзд на пішохода - пішохід рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.849288,23.995814
2022-01-15,7:15:00,субота,місто,Львів,Франківський,вулиця,Симоненка В.,null,вул. Симоненка В. - вул. Наукова,наїзд на пішохода - пішохід рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.805173,23.986652
2022-01-14,7:20:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Липинського В.,54б,null,наїзд на пішохода - стояв на проїздній частині,"порушення правил проїзду пішохідних переходів, порушення правил проїзду перехресть",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.865259,24.04497
2022-01-11,22:01:00,вівторок,місто,Львів,Личаківський,вулиця,Личаківська,150,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.835803,24.069677
2022-01-22,19:40:00,субота,місто,Львів,Шевченківський,вулиця,Шевченка Т.,60,null,наїзд на пішохода - стояв на проїздній частині,"порушення правил маневрування, керування транспортним засобом у нетверезому стані",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.844964,24.00959
2022-01-14,7:30:00,п'ятниця,місто,Львів,Залізничний,вулиця,Любінська,null,вул. Любінська - вул. Зоряна,"наїзд на дорожний знак, бордюрний камінь",порушення правил маневрування,1,помер на місці дтп,null,null,null,null,null,null,null,null,null,null,49.825086,23.979263
2022-01-21,9:07:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Бетховена Л.,null,вул. Бетховена Л. - вул. Липинського В.,зіткнення бокове,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.863433,24.034073
2022-01-05,14:48:00,середа,місто,Львів,Личаківський,вулиця,Богданівська,44,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.855303,24.075733
2022-01-23,19:30:00,неділя,місто,Львів,Залізничний,вулиця,Городоцька,224,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.827789,23.951386
2022-01-02,1:30:00,неділя,місто,Львів,Галицький,площа,"Данила Галицького, пл.",2,null,наїзд на пішохода - стояв на проїздній частині,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.8445228,24.0320051
2022-05-22,12:28:00,неділя,місто,Львів,Сихівський,вулиця,Трильовського К.,33,null,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.782113,24.065364
2022-02-24,9:08:00,четвер,місто,Львів,Галицький,вулиця,Бандери С.,87,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.835474,24.005325
2022-03-23,15:46:00,середа,місто,Львів,Залізничний,вулиця,Городоцька,190,null,зіткнення бокове,порушення правил маневрування,2,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,49.829841,23.963827
2022-05-28,14:46:00,субота,місто,Львів,Франківський,вулиця,Федьковича Ю.,6,null,наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.836073,24.004553
2022-04-16,11:10:00,субота,місто,Львів,Галицький,вулиця,Підвальна,13,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.843009,24.034975
2022-04-30,12:15:00,субота,місто,Львів,Шевченківський,вулиця,Клепарівська,28,null,наїзд на пішохода - на нерегульованому пішохідному переході,"порушення правил обгону, порушення правил проїзду пішохідних переходів",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.851252,24.015003
2022-05-29,20:43:00,неділя,місто,Львів,Личаківський,вулиця,Хмельницького Б.,225,null,падіння пасажира,порушення правил маневрування,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,49.863697,24.052221
2022-05-22,14:04:00,неділя,місто,Львів,Залізничний,вулиця,Городоцька,321,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.826816,23.947577
2022-05-15,21:54:00,неділя,село,Підбірці,Личаківський,вулиця,Сонячна,null,вул. Тракт Глинянський,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.843269,24.130939
2022-05-04,18:02:00,середа,місто,Львів,Франківський,вулиця,Володимира Великого,54,null,зіткнення бокове,порушення техніки безпеки пасажиром,4,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,49.811629,23.988009
2022-05-19,17:39:00,четвер,місто,Львів,Франківський,вулиця,Стрийська,330б,null,наїзд на інші види перешкод,перевищення безпечної швидкості,7,без ушкоджень,легко травмований,легко травмований,легко травмований,легко травмований,легко травмований,легко травмований,null,null,null,null,49.785282,24.014171
2022-03-05,13:45:00,субота,місто,Львів,Шевченківський,вулиця,Величковського І.,null,вул. Величковського І. - вул. Шевченка Т.,зіткнення бокове,перевищення безпечної швидкості,3,без ушкоджень,легко травмований,тяжко травмований,null,null,null,null,null,null,null,null,49.872803,23.928566
2022-05-05,11:47:00,четвер,місто,Львів,Личаківський,вулиця,Пасічна,38,null,наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.831277,24.0673
2022-04-25,19:23:00,понеділок,селище,Брюховичі,Шевченківський,вулиця,Львівська,2,null,"наїзд на транспортний засіб, що стоїть - по ходу руху",недодержання дистанції,5,без ушкоджень,легко травмований,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,49.897763,23.963396
2022-04-29,21:56:00,п'ятниця,місто,Львів,Сихівський,вулиця,Стрийська,null,вул. Стрийська - вул. Наукова,зіткнення бокове,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.801918,24.018044
2022-03-20,12:01:00,неділя,місто,Львів,Сихівський,вулиця,Пимоненка М.,null,вул. Пимоненка М. - вул. Зелена,зіткнення бокове,порушення правил маневрування,4,легко травмований,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,null,49.809131,24.061222
2022-02-26,21:05:00,субота,місто,Львів,Франківський,вулиця,"Сахарова А., акад.",null,"вул. Сахарова А., акад. - вул. Княгині Ольги",наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.826522,24.01032
2022-04-18,11:30:00,понеділок,місто,Львів,Шевченківський,вулиця,Величковського І.,8,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.87654,23.936704
2022-05-06,15:45:00,п'ятниця,місто,Львів,Галицький,вулиця,Городоцька,109,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.838484,24.007782
2022-05-03,8:58:00,вівторок,місто,Львів,Личаківський,вулиця,Зелена,37,null,зіткнення бокове,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.83272,24.040586
2022-05-10,9:06:00,вівторок,місто,Львів,Шевченківський,вулиця,Хмельницького Б.,109,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,49.853207,24.036471
2022-03-05,22:15:00,субота,місто,Львів,Личаківський,площа,"Петрушевича Є., пл.",null,null,наїзд на інші види перешкод,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.833208,24.036949
2022-05-31,12:01:00,вівторок,місто,Львів,Галицький,проспект,"Чорновола В., просп.",1,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.846455,24.025421
2022-03-04,20:01:00,п'ятниця,село,Малехів,Шевченківський,null,null,null,null,наїзд на інші види перешкод,перевищення безпечної швидкості,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.884736,24.073019
2022-05-31,10:45:00,вівторок,місто,Львів,Шевченківський,вулиця,Липинського В.,29б,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.862793,24.031064
2022-04-08,15:40:00,п'ятниця,місто,Львів,Залізничний,вулиця,Городоцька,null,Скнилівський міст,зіткнення бокове,"невиконання вимог сигналів регулювання, порушення правил маневрування",2,без ушкоджень,помер на місці дтп,null,null,null,null,null,null,null,null,null,49.825138,23.938887
2022-04-11,11:55:00,понеділок,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",null,просп. Червоної Калини - вул. Коломийська,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил перевезення пасажирів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.787776,24.05935
2022-03-26,16:01:00,субота,місто,Львів,Шевченківський,вулиця,Липи Ю.,45,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.8653,24.013689
2022-04-04,16:30:00,понеділок,місто,Львів,Шевченківський,вулиця,Хмельницького Б.,null,вул. Хмельницького Б. - вул. Грінченка Б.,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.869788,24.057162
2022-04-05,12:15:00,вівторок,місто,Львів,Личаківський,вулиця,Личаківська,109,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.838498,24.054957
2022-05-03,14:35:00,вівторок,місто,Львів,Залізничний,вулиця,Городоцька,321,null,зіткнення бокове,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.826726,23.947143
2022-05-07,16:30:00,субота,місто,Львів,Галицький,вулиця,Шевченка Т.,6,null,наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці,порушення правил маневрування,2,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,49.842798,24.01695
2022-04-14,8:35:00,четвер,місто,Львів,Личаківський,вулиця,Пасічна,null,вул. Пасічна - вул. Вашингтона Дж.,зіткнення бокове,"перевищення безпечної швидкості, недодержання дистанції",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.814191,24.078217
2022-04-26,9:40:00,вівторок,селище,Брюховичі,Шевченківський,вулиця,Незалежності України,null,null,перекидання тз,"перевищення безпечної швидкості, керування транспортним засобом у нетверезому стані",1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.911413,23.928416
2022-04-08,10:01:00,п'ятниця,місто,Львів,Галицький,вулиця,Франка І.,47,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"порушення правил проїзду пішохідних переходів, керування транспортним засобом у нетверезому стані",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.832395,24.033746
2022-04-06,16:01:00,середа,місто,Львів,Сихівський,вулиця,Сихівська,8,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.79473,24.065005
2022-02-22,7:01:00,вівторок,місто,Львів,Франківський,вулиця,Кульпарківська,93,null,падіння пасажира,порушення техніки безпеки пасажиром,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.82049,23.988374
2022-04-12,9:18:00,вівторок,місто,Львів,Залізничний,вулиця,Городоцька,168,null,наїзд на пішохода - на нерегульованому пішохідному переході,неочікуваний вихід на проїзну частину,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.833183,23.970038
2022-05-18,18:01:00,середа,місто,Львів,Личаківський,вулиця,Вишенського І.,null,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.840491,24.049727
2022-03-31,17:05:00,четвер,місто,Львів,Шевченківський,вулиця,Миколайчука І.,28,null,"наїзд на опори (леп, телефонних та телеграфних ліній, рекламоносіїв, щогли антен мобільного зв'язку, тощо)",перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.879185,24.036847
2022-03-21,13:35:00,понеділок,місто,Львів,Сихівський,вулиця,Угорська,19,null,наїзд на пішохода - на регульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.811079,24.043643
2022-04-04,8:20:00,понеділок,місто,Львів,Личаківський,вулиця,Пасічна,51,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"порушення правил проїзду пішохідних переходів, перевищення безпечної швидкості",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.827872,24.071576
2022-04-14,11:10:00,четвер,місто,Львів,Залізничний,вулиця,Городоцька,300,null,зіткнення бокове,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.821636,23.918931
2022-03-17,15:01:00,четвер,місто,Львів,Залізничний,площа,"Двірцева, пл.",1,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.838937,23.995214
2022-05-05,11:52:00,четвер,місто,Винники,Личаківський,вулиця,Хмельницького Б.,null,траса,наїзд на інші види перешкод,"перевищення безпечної швидкості, недодержання дистанції",1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.820488,24.112369
2022-05-19,15:05:00,четвер,місто,Львів,Залізничний,вулиця,Городоцька,null,кільцева,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.82075,23.913825
2022-03-15,16:45:00,вівторок,місто,Львів,Личаківський,вулиця,Богданівська,44,null,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.855707,24.075395
2022-04-15,11:42:00,п'ятниця,місто,Львів,Личаківський,вулиця,Личаківська,7,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.839782,24.038279
2022-04-16,18:40:00,субота,місто,Дубляни,Шевченківський,вулиця,Львівська,4,null,зіткнення бокове,перевищення безпечної швидкості,4,без ушкоджень,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,null,49.889654,24.090434
2022-04-26,14:01:00,вівторок,село,Малехів,Шевченківський,вулиця,Київська,null,АЗС Вог,зіткнення бокове,"порушення правил маневрування, виїзд на смугу зустрічного руху",3,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,null,null,49.877729,24.064624
2022-04-21,21:19:00,четвер,місто,Львів,Залізничний,вулиця,Городоцька,302,null,наїзд на пішохода,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.826543,23.917156
2022-05-05,12:20:00,четвер,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",90,null,наїзд на пішохода - на нерегульованому пішохідному переході,невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.786054,24.058916
2022-04-28,18:18:00,четвер,місто,Львів,Сихівський,вулиця,Стрийська,199,null,зіткнення бокове,порушення правил проїзду перехресть,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,49.774752,24.025555
2022-04-27,13:20:00,середа,місто,Львів,Шевченківський,вулиця,Хвильового М.,14,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.868512,24.032459
2022-04-28,17:10:00,четвер,місто,Львів,Франківський,вулиця,Княгині Ольги,1а,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.825228,24.008732
2022-05-14,15:38:00,субота,місто,Львів,Сихівський,проспект,"Святого Івана Павла ІІ, просп.",4б,null,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,49.79991,24.034781
2022-03-28,7:05:00,понеділок,місто,Львів,Сихівський,вулиця,Луганська,null,"просп. Червоної Калини, міст",наїзд на дорожне огородження,"перевищення безпечної швидкості, недодержання дистанції",1,тяжко травмований,null,null,null,null,null,null,null,null,null,null,49.807956,24.051068
2022-06-02,10:01:00,четвер,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",57а,null,наїзд на велосипедиста - поза межами велосипедної доріжки,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.856368,24.021687
2022-04-13,12:10:00,середа,місто,Львів,Личаківський,вулиця,Богданівська,44,null,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.857167,24.074513
2022-04-16,15:09:00,субота,місто,Львів,Франківський,вулиця,Наукова,96,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,49.804998,23.988527
2022-05-07,21:55:00,субота,місто,Львів,Галицький,вулиця,Шевченка Т.,4,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.842691,24.017921
2022-03-15,11:52:00,вівторок,місто,Львів,Галицький,проспект,"Свободи, просп.",null,null,наїзд на пішохода,порушення правил надання безперешкодного проїзду,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.841359,24.027336
2022-03-30,21:01:00,середа,місто,Львів,Залізничний,вулиця,Патона Є.,2,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.823065,23.961364
2022-06-01,10:24:00,середа,місто,Львів,Личаківський,вулиця,Пасічна,49,null,зіткнення бокове,порушення правил маневрування,2,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,49.828415,24.070723
2022-03-24,18:50:00,четвер,місто,Львів,Галицький,вулиця,Зарицьких,40,null,наїзд на велосипедиста - поза межами велосипедної доріжки,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.829135,24.025834
2022-05-30,7:30:00,понеділок,місто,Львів,Галицький,вулиця,Вітовського Д.,3,null,наїзд на пішохода - на нерегульованому пішохідному переході,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.8299,24.030168
2022-04-09,14:30:00,субота,місто,Львів,Галицький,вулиця,Вітовського Д.,55,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.831769,24.019441
2022-05-18,19:30:00,середа,місто,Львів,Залізничний,площа,"Двірцева, пл.",1,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,неочікуваний вихід на проїзну частину,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.839391,23.995444
2022-05-30,12:30:00,понеділок,місто,Львів,Шевченківський,вулиця,Шевченка Т.,4,null,падіння пасажира,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.842861,24.017966
2022-05-28,21:01:00,субота,місто,Львів,Личаківський,вулиця,Глинянський Тракт,66,null,зіткнення бокове,"порушення правил маневрування, керування транспортним засобом у нетверезому стані, перевищення безпечної швидкості",4,без ушкоджень,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,49.840131,24.084456
2022-04-27,16:47:00,середа,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",null,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.857934,24.020684
2022-05-11,14:10:00,середа,місто,Львів,Сихівський,вулиця,Угорська,19,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.811201,24.04331
2022-05-20,19:01:00,п'ятниця,місто,Львів,Франківський,вулиця,Наукова,12,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.80339,24.004285
2022-05-30,11:01:00,понеділок,селище,Брюховичі,Шевченківський,вулиця,Курортна,null,вул. Курортна - вул. Широка - вул. Лікарська,зіткнення бокове,порушення правил проїзду перехресть,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.907077,23.948022
2022-06-01,2:01:00,середа,місто,Львів,Личаківський,вулиця,Поліська,1,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.874138,24.061947
2022-04-21,21:01:00,четвер,місто,Львів,Личаківський,вулиця,Личаківська,null,null,наїзд на пішохода,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.836156,24.066131
