accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,injuryStatusParticipant10,injuryStatusParticipant11,injuryStatusParticipant12,injuryStatusParticipant13,injuryStatusParticipant14,injuryStatusParticipant15,injuryStatusParticipant16,injuryStatusParticipant17,injuryStatusParticipant18,injuryStatusParticipant19,injuryStatusParticipant20,latitude,longitude
2019-01-06,11:05:00,неділя,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",85А,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.793428,24.059334
2019-01-23,3:20:00,середа,місто,Львів,Франківський,вулиця,Городоцька,106,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.837052,24.003732
2019-01-08,13:01:00,вівторок,місто,Львів,Галицький,вулиця,Шевченка Т.,null,Пам'ятник Грушевському М.,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.837249,24.031413
2019-02-05,18:26:00,вівторок,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",null,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.857402,24.022894
2019-01-12,1:01:00,субота,місто,Львів,Личаківський,площа,"Петрушевича Є., пл.",3,null,наїзд на пішохода - пішохід переходив дорогу поза межами пішохідного переходу,перевищення безпечної швидкості,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.832536,24.035479
2019-01-02,7:36:00,середа,місто,Львів,Франківський,вулиця,Антоновича В.,102,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,помер у лікарні протягом 30 діб,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.82874,23.996125
2019-01-02,17:47:00,середа,місто,Львів,Личаківський,вулиця,Зелена,109,null,падіння пасажира,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.821293,24.055365
2019-01-17,22:10:00,четвер,місто,Львів,Сихівський,вулиця,Зелена,202,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.811775,24.060909
2019-01-08,19:59:00,вівторок,місто,Львів,Франківський,вулиця,Наукова,44,null,зіткнення лобове,недодержання дистанції,4,без ушкоджень,легко травмований,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.805083,23.99582
2019-02-05,18:10:00,вівторок,місто,Львів,Шевченківський,вулиця,Промислова,50,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.861406,24.043804
2019-02-23,9:55:00,субота,місто,Львів,Сихівський,вулиця,Луганська,null,"Перехрестя вул. Луганська - вул. Буйка П., проф.",зіткнення лобове,перевищення безпечної швидкості,3,легко травмований,без ушкоджень,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.809812,24.031177
2019-02-21,10:45:00,четвер,місто,Львів,Франківський,вулиця,Володимира Великого,22,null,падіння пасажира,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.812185,23.997576
2019-03-15,13:54:00,п'ятниця,місто,Львів,Залізничний,вулиця,Городоцька,116,null,наїзд на пішохода - на регульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.830689,23.968735
2019-03-16,17:55:00,субота,місто,Львів,Франківський,вулиця,Стрийська,null,Перехрестя вул. Стрийська -вул. Наукова,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.80189,24.017937
2019-03-26,16:50:00,вівторок,місто,Львів,Франківський,вулиця,Наукова,25,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.802452,23.992032
2019-03-02,18:01:00,субота,місто,Львів,Шевченківський,вулиця,Миколайчука І.,9,null,падіння пасажира,порушення правил маневрування,2,без ушкоджень,помер у лікарні протягом 30 діб,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.874428,24.041455
2019-03-05,19:02:00,вівторок,місто,Львів,Шевченківський,вулиця,Шевченка Т.,358,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.868142,23.952089
2019-02-16,10:56:00,субота,місто,Львів,Личаківський,вулиця,Хмельницького Б.,179,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.856157,24.045698
2019-03-31,21:10:00,неділя,місто,Львів,Личаківський,вулиця,Пасічна,null,Перехрестя вул. Пасічна - вул. Личаківська,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.836017,24.068406
2019-03-12,17:01:00,вівторок,місто,Львів,Сихівський,вулиця,Угорська,12,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.810563,24.045119
2019-02-27,10:52:00,середа,місто,Львів,Личаківський,вулиця,Мечникова І.,33,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.831938,24.049544
2019-03-09,17:14:00,субота,місто,Львів,Галицький,проспект,"Чорновола В., просп.",null,"Перехрестя Чорновола В.,просп. - вул. Під Дубом",наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.850553,24.024431
2019-03-25,1:35:00,понеділок,місто,Львів,Франківський,вулиця,Городоцька,153,null,зіткнення бокове,"недодержання дистанції, керування транспортним засобом у нетверезому стані",2,легко травмований,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.836332,24.000202
2019-03-09,21:40:00,субота,місто,Львів,Франківський,вулиця,Володимира Великого,null,Перехрестя вул. Володимира Великого - вул. Янева В.,зіткнення лобове,перевищення безпечної швидкості,5,легко травмований,без ушкоджень,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.808953,24.011714
2019-02-07,11:30:00,четвер,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",null,null,падіння пасажира,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.795616,24.054608
2019-02-01,9:15:00,п'ятниця,місто,Львів,Сихівський,вулиця,Стрийська,null,null,падіння пасажира,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.775472,24.014204
2019-02-13,12:01:00,середа,місто,Львів,Франківський,вулиця,Стрийська,null,вул. Стрийська - вул. Наукова,падіння пасажира,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.802098,24.01783
2019-03-31,20:25:00,неділя,місто,Львів,Галицький,вулиця,Під Дубом,13,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.850523,24.021515
2019-03-30,19:30:00,субота,місто,Львів,Залізничний,вулиця,Широка,77,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.841785,23.964738
2019-03-22,14:03:00,п'ятниця,місто,Львів,Личаківський,вулиця,Хмельницького Б.,144,null,падіння пасажира,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.857177,24.046578
2019-02-18,15:22:00,понеділок,місто,Львів,Залізничний,вулиця,Виговського І.,100,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.813055,23.977919
2019-03-16,18:33:00,субота,місто,Львів,Франківський,вулиця,Кульпарківська,147,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.816544,23.986545
2019-03-05,19:35:00,вівторок,місто,Львів,Шевченківський,вулиця,Винниця,22,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,помер у лікарні протягом 30 діб,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.862153,23.997805
2019-03-11,12:49:00,понеділок,місто,Львів,Личаківський,вулиця,Зелена,null,вул. Зелена - вул. Франка І.,падіння пасажира,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.834578,24.034953
2019-02-14,11:20:00,четвер,місто,Львів,Личаківський,вулиця,Богданівська,135,null,зіткнення бокове,порушення правил обгону,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.850824,24.079721
2019-03-23,22:15:00,субота,місто,Львів,Галицький,вулиця,"Тарнавського М., ген.",109,null,зіткнення лобове,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.826875,24.042517
2019-02-21,8:19:00,четвер,місто,Львів,Галицький,вулиця,Устияновича М.,14,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.836225,24.016151
2019-03-31,21:05:00,неділя,місто,Львів,Галицький,вулиця,Торгова,2,null,наїзд на пішохода - пішохід рухався у попутному напрямку,невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.844682,24.027062
2019-02-22,8:45:00,п'ятниця,місто,Львів,Сихівський,вулиця,Кавалерідзе І.,9,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.792488,24.065789
2019-03-28,14:28:00,четвер,місто,Львів,Шевченківський,вулиця,Шевченка Т.,384,null,наїзд на пішохода - пішохід рухався у попутному напрямку,невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.870632,23.94607
2019-03-29,14:53:00,п'ятниця,місто,Львів,Личаківський,вулиця,Кукурудзяна,4,null,зіткнення бокове,"перевищення безпечної швидкості, недодержання дистанції",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.862596,24.058653
2019-03-16,20:40:00,субота,місто,Львів,Шевченківський,вулиця,Бетховена Л.,null,Перехрестя вул. Бетховена Л. - вул. Липинського В.,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,легко травмований,тяжко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.863571,24.033269
2019-03-11,14:20:00,понеділок,місто,Львів,Галицький,проспект,"Свободи, просп.",49,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,помер у лікарні протягом 30 діб,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.844099,24.025732
2019-03-19,10:35:00,вівторок,місто,Львів,Шевченківський,вулиця,"Мазепи І., гетьм.",1Б,null,падіння пасажира,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.871164,24.035811
2019-03-19,21:30:00,вівторок,місто,Львів,Франківський,вулиця,Княгині Ольги,100Г,null,зіткнення лобове,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.811494,23.999838
2019-03-08,19:15:00,п'ятниця,місто,Львів,Франківський,вулиця,Кульпарківська,20,null,зіткнення лобове,порушення правил маневрування,4,без ушкоджень,легко травмований,легко травмований,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.832599,23.99075
2019-02-25,12:01:00,понеділок,місто,Львів,Шевченківський,вулиця,Шевченка Т.,180-200,null,наїзд на інші види перешкод,"перевищення безпечної швидкості, недодержання дистанції",1,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.858294,23.974582
