accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,latitude,longitude
2017-05-01,23:21:00,понеділок,місто,Львів,Шевченківський,вулиця,Липинського В.,null,"Перехрестя вул. Липинського В., - вул. Замарстинівська",зіткнення лобове,"порушення правил маневрування, порушення правил проїзду перехресть",3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,49.860092,24.026885
2017-04-27,11:50:00,четвер,місто,Львів,Галицький,вулиця,Городоцька,31,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,null,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,49.843161,24.021875
2017-04-28,12:17:00,п'ятниця,місто,Львів,Франківський,вулиця,Винниченка В.,16,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,"порушення правил маневрування, недодержання дистанції",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,49.841068,24.036627
2017-04-30,11:30:00,неділя,місто,Львів,Франківський,вулиця,Стрийська,null,Перехрестя вул. Стрийська - вул. Рубчака І.,зіткнення з задньою частиною ТЗ,"перевищення безпечної швидкості, недодержання дистанції",4,без ушкоджень,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,49.805311,24.018688
2017-04-29,9:30:00,субота,місто,Львів,Личаківський,вулиця,Богданівська,11,null,зіткнення з задньою частиною ТЗ,недодержання дистанції,2,легко травмований,без ушкоджень,null,null,null,null,null,null,null,49.857678,24.0734
2017-04-29,14:15:00,субота,місто,Львів,Шевченківський,вулиця,Липинського В.,54,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,null,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,49.864871,24.04117
2017-04-29,9:33:00,субота,місто,Львів,Шевченківський,вулиця,Миколайчука І.,8,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,null,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,49.874352,24.041498
2017-05-02,14:50:00,вівторок,місто,Львів,Шевченківський,вулиця,Замарстинівська,270А,null,зіткнення з задньою частиною ТЗ,"перевищення безпечної швидкості, недодержання дистанції",2,легко травмований,легко травмований,null,null,null,null,null,null,null,49.864698,24.025614
2017-05-06,16:24:00,субота,місто,Львів,Шевченківський,вулиця,"Мазепи І., гетьм.",null,"Перехрестя вул. Мазепи І., гетьм., - вул. Плугова",зіткнення бокове,порушення правил обгону,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,49.872464,24.044588
2017-05-05,17:58:00,п'ятниця,місто,Львів,Франківський,вулиця,Городоцька,229,null,зіткнення бокове,"порушення правил маневрування, порушення правил проїзду перехресть",3,без ушкоджень,тяжко травмований,легко травмований,null,null,null,null,null,null,49.832069,23.976819
